,기간,자치구,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터
149,2016,영등포구,-,1,15,-,1,5
150,2016,동작구,-,1,16,-,1,4
151,2016,관악구,-,1,20,-,1,4
152,2016,서초구,-,2,19,-,1,6
153,2016,강남구,-,2,24,-,1,5
154,2016,송파구,-,1,21,-,1,6
155,2016,강동구,-,1,17,-,1,5
156,2017,합계,2,31,425,1,24,116
157,2017,종로구,1,2,23,-,1,6
158,2017,중구,-,2,18,1,1,5
159,2017,용산구,-,1,12,-,1,5
160,2017,성동구,-,1,15,-,1,4
161,2017,광진구,-,1,11,-,1,3
162,2017,동대문구,-,1,21,-,1,5
163,2017,중랑구,-,1,18,-,1,4
164,2017,성북구,-,2,24,-,1,4
165,2017,강북구,-,1,15,-,1,4
166,2017,도봉구,-,1,10,-,1,4
167,2017,노원구,-,1,19,-,1,5
168,2017,은평구,-,2,20,-,1,4
169,2017,서대문구,1,1,11,-,1,4
170,2017,마포구,-,1,17,-,1,6
171,2017,양천구,-,1,17,-,1,5
172,2017,강서구,-,1,12,-,1,5
173,2017,구로구,-,1,17,-,1,6
174,2017,금천구,-,1,12,-,-,2
175,2017,영등포구,-,1,15,-,1,5
176,2017,동작구,-,1,17,-,1,4
177,2017,관악구,-,1,20,-,1,4
178,2017,서초구,-,2,19,-,1,6
179,2017,강남구,-,2,24,-,1,5
180,2017,송파구,-,1,21,-,1,6
181,2017,강동구,-,1,17,-,1,5
182,2018,합계,2,31,414,1,24,117
183,2018,종로구,1,2,23,-,1,6
184,2018,중구,-,2,18,1,1,5
185,2018,용산구,-,1,12,-,1,5
186,2018,성동구,-,1,15,-,1,4
187,2018,광진구,-,1,12,-,1,3
188,2018,동대문구,-,1,20,-,1,5
189,2018,중랑구,-,1,17,-,1,4
190,2018,성북구,-,2,24,-,1,4
191,2018,강북구,-,1,14,-,1,4
192,2018,도봉구,-,1,9,-,1,4
193,2018,노원구,-,1,18,-,1,5
194,2018,은평구,-,2,20,-,1,4
195,2018,서대문구,1,1,11,-,1,4
196,2018,마포구,-,1,17,-,1,6
197,2018,양천구,-,1,15,-,1,5
198,2018,강서구,-,1,12,-,1,5
199,2018,구로구,-,1,16,-,1,6
200,2018,금천구,-,1,12,-,-,2
201,2018,영등포구,-,1,15,-,1,5
202,2018,동작구,-,1,17,-,1,4
203,2018,관악구,-,1,19,-,1,4
204,2018,서초구,-,2,19,-,1,6
205,2018,강남구,-,2,23,-,1,6
206,2018,송파구,-,1,20,-,1,6
207,2018,강동구,-,1,16,-,1,5
208,2019,합계,2,31,410,1,24,118
209,2019,종로구,1,2,23,-,1,6
210,2019,중구,-,2,18,1,1,5
211,2019,용산구,-,1,12,-,1,5
212,2019,성동구,-,1,15,-,1,4
213,2019,광진구,-,1,12,-,1,3
214,2019,동대문구,-,1,20,-,1,5
215,2019,중랑구,-,1,17,-,1,4
216,2019,성북구,-,2,24,-,1,4
217,2019,강북구,-,1,14,-,1,4
218,2019,도봉구,-,1,9,-,1,4
219,2019,노원구,-,1,17,-,1,5
220,2019,은평구,-,2,20,-,1,4
221,2019,서대문구,1,1,11,-,1,4
222,2019,마포구,-,1,15,-,1,6
223,2019,양천구,-,1,16,-,1,5
224,2019,강서구,-,1,12,-,1,6
225,2019,구로구,-,1,16,-,1,6
226,2019,금천구,-,1,12,-,-,2
227,2019,영등포구,-,1,15,-,1,5
228,2019,동작구,-,1,17,-,1,4
229,2019,관악구,-,1,19,-,1,4
230,2019,서초구,-,2,19,-,1,6
231,2019,강남구,-,2,21,-,1,6
232,2019,송파구,-,1,20,-,1,6
233,2019,강동구,-,1,16,-,1,5
