,p_1,p_2
427,"[0, 0, 359.369, 350.255, 326.775, 348.983, 318.986, 390.735, 317.589, 431.227, 392.005, 350.261, 393.333, 388.132, 393.344, 422.036, 328.075, 352.904, 325.477, 418.157, 326.711, 431.173, 369.885, 377.661, 378.963, 412.972, 0, 0, 0, 0, 0, 0, 350.304, 356.826, 371.227, 359.413]","[506.911, 159.758, 506.963, 174.131, 484.672, 171.407, 462.524, 200.165, 445.606, 226.288, 534.316, 181.942, 536.956, 223.614, 529.147, 256.365, 476.883, 244.512, 461.244, 291.55, 444.318, 338.57, 508.243, 248.496, 506.914, 299.363, 506.942, 346.359, 505.583, 151.939, 513.44, 155.822, 499.11, 144.102, 526.472, 153.246]"
428,"[0, 0, 358.097, 348.992, 326.789, 348.966, 319.001, 390.712, 316.36, 432.444, 390.754, 348.994, 393.345, 385.513, 393.363, 422.034, 335.908, 368.549, 325.494, 418.141, 327.979, 429.909, 371.14, 376.388, 378.965, 412.927, 0, 0, 0, 0, 0, 0, 348.978, 352.919, 381.603, 350.303]","[505.643, 157.141, 506.985, 174.066, 484.688, 170.171, 461.239, 196.266, 442.951, 222.39, 535.587, 181.87, 538.234, 221.084, 534.313, 256.391, 478.218, 243.282, 462.539, 290.265, 445.576, 338.502, 510.813, 248.466, 506.971, 299.392, 506.964, 345.079, 505.533, 150.655, 510.815, 153.182, 499.103, 141.512, 526.417, 151.915]"
429,"[0, 0, 358.118, 348.997, 326.807, 348.983, 319.035, 392.044, 316.375, 432.468, 390.721, 349.005, 393.342, 385.505, 393.362, 422.031, 333.319, 367.256, 325.474, 414.249, 328.023, 431.191, 371.137, 375.088, 380.286, 411.656, 0, 0, 0, 0, 0, 0, 348.971, 352.925, 380.292, 350.301]","[504.307, 153.192, 508.253, 172.78, 484.743, 168.864, 459.934, 192.402, 435.167, 213.176, 535.644, 180.562, 544.733, 219.747, 539.554, 257.63, 483.378, 244.525, 463.855, 292.853, 449.484, 338.481, 514.7, 248.513, 508.229, 300.696, 508.194, 346.346, 501.681, 149.289, 506.96, 150.601, 0, 0, 523.844, 150.567]"
430,"[0, 0, 358.131, 348.998, 328.057, 348.951, 320.276, 392.022, 316.378, 432.464, 390.703, 349.029, 392.089, 386.826, 393.358, 422.037, 338.51, 371.153, 325.496, 414.257, 327.999, 431.195, 371.171, 376.382, 380.282, 412.916, 0, 0, 0, 0, 0, 0, 348.971, 354.226, 380.324, 348.983]","[504.275, 153.227, 508.257, 172.733, 484.761, 167.558, 459.927, 192.335, 433.833, 208.022, 535.641, 177.998, 546.019, 215.901, 546.012, 256.305, 484.662, 243.244, 465.144, 291.57, 453.35, 337.237, 515.977, 248.469, 508.256, 300.694, 506.975, 346.363, 499.086, 149.297, 506.971, 150.612, 0, 0, 522.587, 150.524]"
431,"[0, 0, 359.435, 349.008, 328.096, 347.658, 321.566, 390.779, 317.61, 432.466, 390.767, 350.305, 392.085, 389.444, 393.345, 422.063, 329.42, 352.915, 328.048, 412.931, 328.072, 429.872, 371.151, 375.082, 381.594, 412.953, 381.654, 422.139, 0, 0, 0, 0, 350.26, 352.927, 380.315, 350.294]","[501.683, 151.941, 509.506, 171.528, 485.982, 166.278, 459.919, 191.049, 433.784, 205.441, 535.639, 176.712, 546.046, 214.616, 547.339, 254.981, 484.696, 243.237, 467.787, 290.23, 454.729, 337.254, 515.993, 247.217, 508.248, 298.134, 506.979, 346.339, 497.766, 147.991, 506.88, 150.546, 0, 0, 519.961, 149.243]"
432,"[369.924, 369.79, 359.434, 348.972, 328.113, 347.695, 322.893, 392.067, 317.617, 432.467, 390.729, 349.019, 392.098, 388.116, 393.372, 422.058, 329.39, 355.524, 325.494, 405.105, 328.09, 427.279, 369.891, 372.487, 381.651, 411.641, 0, 0, 368.533, 367.27, 0, 0, 350.317, 351.597, 380.276, 351.591]","[500.367, 150.639, 509.534, 171.479, 486.057, 166.239, 462.507, 189.776, 433.83, 205.404, 535.609, 174.111, 546.059, 213.304, 547.419, 252.367, 485.985, 243.227, 474.217, 288.989, 465.131, 337.198, 516.055, 247.191, 509.531, 298.073, 508.193, 345.043, 496.509, 144.096, 505.652, 147.955, 0, 0, 518.691, 145.362]"
433,"[369.895, 369.838, 359.406, 347.669, 328.087, 347.684, 322.883, 392.085, 317.612, 432.483, 390.697, 346.371, 392.092, 384.238, 393.378, 422.046, 328.074, 351.595, 324.179, 397.273, 328.112, 427.304, 368.552, 369.839, 381.645, 410.324, 381.583, 422.06, 0, 0, 372.495, 367.209, 352.899, 352.896, 378.966, 351.579]","[497.809, 150.617, 509.542, 171.474, 486.092, 166.249, 463.839, 191.027, 435.153, 205.432, 535.583, 174.079, 546.038, 213.268, 547.386, 251.099, 486.008, 243.221, 475.538, 288.981, 472.949, 335.924, 516.044, 245.926, 510.806, 296.789, 508.225, 343.745, 496.474, 144.066, 505.58, 146.699, 0, 0, 517.417, 144.094]"
434,"[371.126, 369.815, 359.388, 348.93, 328.057, 347.68, 322.878, 392.093, 317.608, 432.488, 390.697, 348.943, 392.043, 388.153, 393.37, 422.064, 328.07, 354.221, 322.866, 395.988, 328.154, 428.59, 369.839, 371.141, 382.893, 409.041, 381.582, 422.129, 0, 0, 0, 0, 352.905, 351.618, 380.235, 350.327]","[499.08, 151.849, 510.814, 171.468, 487.337, 166.253, 465.151, 192.306, 441.625, 210.603, 535.571, 174.063, 546.036, 213.272, 547.349, 252.384, 486.039, 241.969, 475.652, 288.961, 475.656, 334.613, 516.049, 245.92, 510.844, 296.797, 508.242, 343.739, 496.491, 145.385, 505.615, 147.982, 0, 0, 517.424, 144.054]"
435,"[369.878, 369.865, 359.393, 347.656, 328.074, 348.969, 324.182, 394.68, 317.619, 432.495, 389.466, 346.351, 392.021, 384.242, 393.346, 422.043, 326.79, 351.615, 322.88, 397.279, 328.075, 429.883, 362.033, 364.653, 381.643, 411.635, 381.586, 422.11, 368.558, 368.516, 0, 0, 352.905, 351.596, 380.295, 348.946]","[499.062, 149.287, 509.521, 171.47, 487.372, 168.858, 471.683, 195.025, 445.585, 219.743, 531.714, 172.802, 542.128, 213.232, 540.863, 252.37, 486.007, 243.268, 482.128, 288.941, 487.38, 330.728, 514.748, 245.916, 510.815, 296.763, 509.512, 341.171, 496.48, 141.498, 505.609, 142.754, 0, 0, 517.401, 141.493]"
436,"[371.164, 369.769, 359.388, 347.672, 328.072, 348.956, 324.195, 394.649, 317.629, 432.493, 389.468, 346.382, 392.027, 385.538, 393.344, 422.052, 326.778, 351.609, 322.887, 397.267, 328.062, 428.605, 362.042, 364.658, 381.648, 411.631, 381.586, 422.133, 0, 0, 0, 0, 352.921, 351.591, 380.32, 347.669]","[496.519, 146.695, 509.506, 171.451, 488.621, 168.858, 475.533, 197.567, 453.432, 223.656, 530.402, 172.759, 539.57, 213.177, 538.226, 248.492, 486.05, 243.221, 484.713, 287.667, 493.846, 328.149, 515.999, 245.846, 510.831, 295.45, 508.191, 341.185, 496.414, 141.42, 504.252, 141.449, 0, 0, 517.312, 141.403]"
437,"[369.894, 369.818, 359.384, 346.369, 328.054, 347.685, 324.203, 394.682, 317.63, 432.485, 389.467, 343.784, 392.027, 382.945, 393.336, 422.036, 325.507, 351.611, 322.882, 398.587, 326.731, 429.901, 360.756, 364.652, 381.593, 411.641, 381.623, 423.286, 367.277, 367.256, 0, 0, 352.902, 351.589, 380.282, 347.653]","[499.068, 142.813, 508.22, 171.433, 488.616, 170.145, 483.393, 201.499, 474.29, 228.885, 527.846, 171.506, 536.919, 211.953, 529.125, 248.488, 486.091, 244.531, 487.316, 290.234, 496.526, 329.399, 513.429, 245.858, 506.98, 294.184, 508.24, 339.89, 496.451, 140.145, 505.597, 140.131, 0, 0, 517.299, 140.124]"
438,"[487.365, 142.764, 513.407, 171.433, 500.412, 171.513, 502.963, 215.858, 0, 0, 525.149, 171.423, 522.576, 213.184, 508.217, 245.861, 496.445, 241.978, 483.367, 286.266, 495.162, 328.047, 517.371, 244.598, 514.693, 295.435, 515.985, 341.144, 491.227, 140.224, 493.863, 140.091, 0, 0, 508.193, 140.153]","[384.239, 142.787, 369.806, 172.853, 369.806, 175.426, 375.088, 215.831, 385.536, 247.211, 369.861, 171.512, 385.523, 208.028, 390.719, 243.259, 369.9, 247.202, 369.922, 296.817, 367.262, 343.759, 369.858, 245.899, 362.071, 295.471, 356.794, 337.222, 380.36, 140.177, 381.725, 140.111, 369.826, 144.088, 0, 0]"
439,"[487.345, 142.779, 510.82, 171.454, 499.065, 171.487, 499.066, 215.836, 0, 0, 523.879, 171.472, 521.259, 213.219, 508.259, 245.926, 495.124, 243.261, 475.61, 284.99, 492.521, 326.796, 516.039, 245.862, 514.729, 296.741, 515.977, 341.129, 489.925, 140.223, 493.836, 140.103, 0, 0, 506.936, 140.155]","[384.25, 142.775, 369.797, 172.845, 369.802, 175.402, 375.07, 214.563, 384.237, 245.918, 369.842, 171.512, 384.24, 206.757, 0, 0, 369.899, 247.202, 369.913, 296.819, 367.258, 343.761, 369.84, 245.901, 362.074, 295.48, 356.799, 337.224, 380.364, 140.165, 382.904, 140.111, 369.815, 144.081, 0, 0]"
440,"[487.334, 142.791, 509.527, 171.478, 497.806, 172.741, 495.169, 210.635, 480.814, 232.795, 522.581, 171.47, 518.698, 213.26, 508.253, 245.901, 493.85, 244.521, 474.325, 284.993, 487.378, 328.109, 514.753, 245.906, 512.144, 296.743, 515.993, 341.133, 488.65, 141.389, 493.818, 140.111, 0, 0, 506.903, 140.159]","[384.243, 142.804, 368.572, 172.825, 368.57, 174.14, 373.804, 214.555, 382.938, 245.886, 369.837, 171.495, 386.818, 206.733, 389.447, 240.668, 369.892, 247.192, 369.911, 296.807, 367.265, 343.745, 369.818, 245.89, 362.071, 295.479, 356.799, 337.212, 380.368, 140.184, 381.736, 140.127, 369.814, 144.079, 0, 0]"
441,"[486.088, 144.086, 508.247, 171.444, 497.773, 171.459, 495.145, 206.734, 476.915, 226.302, 519.982, 171.455, 518.69, 213.207, 508.247, 245.912, 492.538, 243.231, 474.284, 285.038, 484.754, 329.383, 512.139, 245.838, 510.822, 296.73, 515.993, 339.908, 488.66, 141.447, 492.545, 140.146, 0, 0, 506.864, 140.173]","[384.245, 144.049, 368.538, 172.802, 368.568, 174.1, 372.502, 214.527, 382.904, 245.879, 368.552, 171.483, 385.513, 206.756, 0, 0, 369.898, 247.187, 369.917, 296.812, 367.261, 343.748, 369.824, 245.888, 362.08, 295.493, 356.811, 337.221, 381.56, 140.194, 0, 0, 369.818, 144.069, 0, 0]"
442,"[485.996, 144.076, 506.935, 171.506, 496.437, 171.475, 491.224, 204.154, 472.983, 222.353, 518.65, 171.531, 518.691, 213.195, 506.945, 247.16, 487.374, 243.226, 471.656, 286.308, 471.639, 332.017, 509.532, 245.834, 509.545, 296.781, 514.693, 341.203, 487.306, 141.406, 489.92, 140.165, 0, 0, 505.575, 141.415]","[384.231, 142.789, 368.551, 172.832, 367.239, 175.397, 371.236, 214.587, 381.618, 245.921, 369.898, 171.493, 382.932, 209.352, 0, 0, 369.879, 247.224, 369.863, 296.797, 367.253, 342.489, 369.905, 245.925, 362.059, 296.707, 358.074, 337.234, 380.354, 140.172, 381.731, 140.107, 369.798, 142.801, 0, 0]"
443,"[484.75, 145.395, 506.857, 171.514, 495.148, 171.423, 487.379, 204.135, 466.485, 215.9, 517.386, 172.782, 518.649, 213.255, 506.926, 247.191, 487.322, 243.253, 470.343, 286.363, 465.114, 335.941, 509.525, 245.886, 508.269, 298.033, 514.706, 341.205, 485.961, 141.445, 487.366, 141.416, 0, 0, 504.322, 141.469]","[384.232, 142.78, 368.56, 172.846, 365.925, 175.406, 371.189, 215.862, 381.617, 247.186, 371.181, 171.514, 382.9, 211.947, 0, 0, 369.864, 248.482, 369.863, 296.803, 367.252, 342.486, 369.887, 247.17, 362.036, 296.713, 356.828, 337.228, 380.354, 140.165, 381.72, 140.097, 369.807, 142.805, 0, 0]"
444,"[479.513, 147.959, 502.997, 172.735, 488.623, 171.475, 482.13, 202.848, 453.36, 209.346, 516.061, 172.815, 516.082, 214.583, 505.64, 248.508, 484.77, 244.578, 465.204, 290.239, 453.433, 335.927, 508.195, 248.487, 508.267, 299.393, 514.694, 341.193, 483.383, 141.428, 484.728, 141.453, 0, 0, 500.367, 141.507]","[384.198, 142.801, 368.537, 174.073, 363.355, 176.713, 371.147, 218.477, 381.608, 251.103, 371.195, 171.535, 381.636, 214.543, 388.124, 245.855, 369.847, 248.487, 369.857, 296.792, 367.248, 342.489, 369.838, 247.171, 362.038, 295.494, 356.829, 337.213, 380.339, 140.173, 381.693, 140.095, 368.562, 142.763, 0, 0]"
445,"[476.91, 148.003, 499.109, 172.787, 486.078, 172.782, 475.59, 201.518, 444.304, 204.053, 514.75, 172.828, 515.983, 214.564, 505.57, 249.797, 483.427, 245.866, 465.085, 292.861, 449.503, 337.188, 505.651, 251.082, 508.238, 299.403, 513.456, 341.193, 476.919, 141.462, 483.403, 141.487, 0, 0, 496.506, 142.752]","[384.208, 142.806, 368.531, 174.09, 362.062, 177.995, 371.156, 218.48, 381.561, 251.107, 371.219, 172.742, 381.604, 213.239, 385.512, 247.176, 369.794, 248.497, 369.845, 296.785, 367.246, 342.473, 369.867, 247.187, 362.059, 295.483, 356.808, 337.193, 380.342, 140.18, 381.692, 140.105, 368.553, 142.79, 0, 0]"
446,"[474.301, 150.553, 495.21, 172.808, 484.668, 171.505, 465.169, 194.958, 433.831, 193.63, 508.203, 174.086, 509.501, 215.834, 499.096, 251.094, 478.194, 245.847, 462.53, 294.145, 444.245, 337.191, 502.966, 249.788, 508.19, 298.146, 513.444, 341.178, 474.343, 142.805, 476.891, 142.796, 0, 0, 493.851, 144.069]","[382.896, 144.075, 368.514, 174.076, 360.793, 176.709, 369.862, 217.162, 380.253, 252.38, 371.226, 171.535, 381.595, 208.036, 0, 0, 368.534, 247.214, 368.581, 296.771, 365.964, 342.464, 369.867, 245.91, 360.794, 295.459, 356.785, 337.214, 380.29, 140.208, 0, 0, 367.268, 142.803, 0, 0]"
447,"[472.937, 150.539, 492.531, 172.774, 475.559, 170.191, 457.303, 192.372, 429.925, 189.764, 506.945, 174.138, 508.206, 215.868, 497.769, 252.376, 475.538, 245.83, 459.929, 294.174, 444.227, 338.53, 499.109, 248.501, 506.961, 298.092, 514.696, 341.171, 474.206, 144.071, 475.535, 142.778, 0, 0, 491.229, 142.805]","[381.663, 145.368, 367.247, 174.062, 360.743, 176.697, 368.584, 217.146, 379.001, 249.799, 371.21, 171.521, 381.586, 206.765, 382.938, 245.852, 365.932, 245.907, 368.524, 295.471, 365.924, 342.458, 369.897, 245.831, 362.013, 294.152, 356.794, 337.23, 380.266, 141.427, 0, 0, 367.234, 142.815, 0, 0]"
448,"[467.76, 150.588, 486.032, 172.767, 470.369, 170.148, 453.393, 189.755, 423.425, 184.572, 505.569, 175.376, 506.856, 215.873, 496.489, 251.114, 472.946, 245.863, 456.058, 295.426, 444.204, 338.581, 496.481, 249.779, 506.913, 298.117, 514.689, 341.178, 466.466, 145.377, 474.234, 144.102, 0, 0, 487.334, 145.383]","[381.668, 146.659, 365.956, 172.852, 360.708, 175.401, 365.955, 215.867, 375.106, 248.499, 371.175, 171.518, 381.578, 206.739, 0, 0, 367.225, 245.929, 368.554, 296.715, 363.345, 342.471, 371.149, 245.838, 362.08, 294.177, 358.126, 338.502, 380.271, 141.455, 0, 0, 367.229, 144.08, 0, 0]"
449,"[465.091, 150.594, 483.432, 172.821, 465.138, 171.493, 442.977, 185.864, 412.991, 181.855, 500.369, 175.4, 504.319, 218.45, 495.188, 253.676, 467.746, 247.161, 454.707, 296.707, 443.011, 339.83, 495.132, 251.089, 505.56, 298.075, 514.705, 341.133, 465.138, 149.256, 466.499, 145.355, 0, 0, 484.662, 146.664]","[381.657, 147.996, 364.641, 174.107, 359.466, 176.72, 365.926, 217.178, 375.113, 248.472, 371.167, 172.767, 381.603, 210.658, 385.506, 244.606, 364.66, 247.164, 368.568, 295.483, 362.065, 345.052, 371.213, 245.842, 364.667, 294.175, 359.366, 338.559, 380.264, 141.5, 0, 0, 364.653, 145.356, 0, 0]"
450,"[457.334, 150.587, 475.559, 172.791, 456.01, 171.42, 427.286, 181.934, 395.955, 172.851, 495.183, 175.422, 497.756, 215.882, 489.931, 251.098, 462.544, 245.89, 452.04, 295.453, 442.961, 339.851, 488.626, 248.488, 497.801, 296.819, 513.401, 339.848, 457.333, 149.244, 463.797, 145.371, 0, 0, 476.865, 146.676]","[381.612, 149.274, 362.061, 174.123, 360.722, 175.431, 364.658, 218.451, 375.069, 252.371, 369.857, 172.768, 0, 0, 0, 0, 363.323, 247.224, 368.53, 296.799, 360.704, 347.682, 368.567, 245.906, 367.261, 296.758, 360.692, 343.738, 380.231, 142.741, 0, 0, 363.363, 145.374, 0, 0]"
451,"[454.711, 150.536, 474.203, 172.728, 453.428, 168.873, 423.403, 181.863, 390.698, 172.781, 492.551, 175.37, 495.156, 214.621, 487.325, 249.792, 457.327, 245.867, 449.488, 295.452, 442.953, 339.841, 484.761, 247.194, 496.435, 296.707, 512.129, 339.833, 454.747, 142.798, 458.637, 144.052, 0, 0, 474.291, 144.081]","[381.588, 149.297, 362.07, 175.393, 359.395, 177.993, 363.328, 218.464, 372.519, 252.367, 371.191, 172.798, 381.567, 213.245, 0, 0, 362.059, 249.773, 364.658, 298.066, 359.453, 349.021, 369.868, 247.189, 367.272, 298.044, 360.773, 342.469, 379, 142.768, 0, 0, 363.325, 146.657, 0, 0]"
452,"[453.38, 150.612, 467.735, 172.725, 449.463, 170.192, 416.849, 180.627, 381.661, 170.143, 487.341, 174.066, 492.557, 214.535, 486, 248.477, 456.006, 245.852, 448.185, 294.174, 442.946, 339.84, 484.696, 245.927, 495.148, 295.471, 510.84, 339.804, 453.352, 149.247, 454.737, 146.662, 0, 0, 471.689, 144.1]","[380.361, 149.285, 360.786, 175.421, 359.382, 179.312, 362.02, 221.075, 372.487, 252.412, 369.885, 172.776, 0, 0, 0, 0, 362.035, 249.77, 362.054, 298.081, 359.391, 350.308, 369.865, 247.168, 367.227, 298.05, 364.65, 339.848, 377.715, 142.778, 0, 0, 362.086, 146.691, 0, 0]"
453,"[444.313, 150.579, 463.813, 171.476, 442.949, 168.872, 411.674, 181.854, 381.623, 172.759, 484.685, 172.79, 488.668, 213.25, 480.8, 247.199, 453.418, 244.603, 445.609, 295.47, 442.947, 339.848, 480.821, 245.847, 492.538, 294.15, 509.503, 338.539, 444.275, 145.373, 450.801, 145.391, 0, 0, 465.135, 145.352]","[380.317, 150.575, 360.71, 179.276, 358.132, 180.621, 360.784, 223.658, 372.482, 256.272, 369.814, 174.077, 0, 0, 0, 0, 360.711, 253.664, 360.694, 300.673, 356.811, 352.888, 365.929, 249.802, 363.332, 299.377, 368.556, 337.245, 376.4, 144.09, 0, 0, 362.02, 149.242, 0, 0]"
454,"[444.228, 151.844, 459.932, 171.503, 440.323, 170.13, 411.579, 181.841, 381.591, 180.576, 480.807, 172.842, 487.362, 213.196, 476.907, 245.909, 453.363, 244.53, 445.541, 295.424, 442.942, 339.882, 479.482, 244.584, 489.954, 290.28, 508.219, 338.496, 442.967, 147.994, 448.184, 149.238, 0, 0, 463.859, 146.655]","[380.293, 150.65, 359.475, 179.311, 359.385, 181.865, 360.796, 225.014, 372.507, 257.658, 368.515, 174.094, 0, 0, 0, 0, 360.717, 254.974, 359.422, 303.318, 352.914, 355.516, 363.345, 252.412, 360.782, 301.987, 368.56, 337.231, 376.371, 146.672, 0, 0, 360.763, 149.277, 0, 0]"
455,"[442.928, 154.487, 456, 171.537, 435.162, 171.429, 410.311, 181.971, 381.633, 181.873, 476.891, 172.829, 487.33, 211.961, 475.636, 245.841, 452.063, 243.276, 444.258, 295.434, 442.919, 339.893, 476.879, 244.535, 488.666, 290.249, 506.974, 338.491, 441.593, 150.565, 445.569, 150.625, 0, 0, 462.504, 149.268]","[380.262, 150.653, 360.68, 180.565, 354.191, 181.914, 360.763, 226.277, 372.455, 258.908, 369.832, 175.372, 0, 0, 0, 0, 360.68, 254.976, 359.376, 302.009, 352.904, 356.791, 367.255, 252.397, 360.751, 300.679, 367.264, 334.646, 373.81, 146.683, 0, 0, 360.705, 149.308, 0, 0]"
456,"[436.436, 157.143, 453.41, 172.783, 432.545, 171.512, 407.722, 184.566, 382.905, 181.951, 474.299, 174.072, 486.055, 211.964, 474.286, 245.871, 446.89, 244.531, 443.007, 294.176, 442.884, 339.872, 475.543, 244.548, 486.091, 288.946, 506.854, 337.218, 433.892, 151.909, 442.894, 151.93, 0, 0, 454.757, 150.561]","[379.005, 151.853, 359.447, 180.64, 351.611, 181.943, 360.679, 228.916, 371.135, 261.521, 369.834, 178.007, 0, 0, 0, 0, 359.361, 255.029, 358.132, 303.296, 352.888, 356.819, 365.93, 253.695, 360.733, 300.673, 365.955, 334.62, 372.527, 146.703, 0, 0, 359.449, 150.518, 0, 0]"
457,"[436.43, 161.005, 453.336, 172.749, 431.203, 171.442, 406.436, 185.858, 381.672, 183.194, 474.263, 174.097, 486.025, 213.209, 474.261, 245.872, 445.567, 244.538, 442.948, 294.184, 442.883, 339.878, 474.267, 244.562, 486.065, 288.925, 505.606, 337.232, 433.858, 153.243, 442.906, 155.792, 0, 0, 455.995, 150.581]","[377.669, 151.872, 359.419, 181.876, 350.32, 183.196, 359.39, 227.619, 369.901, 261.527, 369.84, 178.002, 0, 0, 0, 0, 358.089, 255.039, 358.136, 304.589, 351.622, 356.796, 365.937, 253.71, 360.748, 300.711, 365.955, 334.642, 372.458, 147.984, 0, 0, 359.415, 150.53, 0, 0]"
458,"[435.145, 159.721, 452.077, 172.765, 429.885, 171.409, 405.13, 189.744, 381.634, 183.27, 474.226, 175.406, 486.031, 213.271, 474.288, 245.903, 444.23, 244.54, 441.625, 294.181, 441.658, 339.879, 471.656, 244.587, 485.986, 288.943, 505.537, 335.923, 433.86, 151.953, 441.625, 154.486, 0, 0, 455.988, 150.624]","[376.384, 151.945, 359.379, 183.173, 349.005, 184.515, 355.529, 226.34, 364.648, 258.953, 369.84, 180.616, 0, 0, 0, 0, 352.886, 255.014, 359.374, 304.603, 351.594, 356.8, 364.644, 253.67, 360.796, 301.981, 365.927, 335.939, 371.182, 149.294, 375.104, 146.675, 356.83, 150.611, 0, 0]"
459,"[435.157, 159.704, 452.087, 172.768, 428.618, 170.193, 405.102, 191.009, 381.666, 188.421, 474.259, 176.678, 486.045, 214.496, 474.305, 245.922, 442.986, 244.523, 440.336, 294.173, 441.645, 339.889, 470.34, 244.573, 484.736, 287.698, 504.314, 335.91, 433.887, 151.938, 441.646, 154.489, 0, 0, 456.005, 151.876]","[377.666, 154.514, 359.425, 183.278, 348.966, 184.581, 355.491, 226.314, 362.043, 260.231, 371.164, 181.975, 0, 0, 0, 0, 351.599, 256.367, 359.4, 307.177, 351.568, 356.829, 367.253, 255.042, 362.048, 304.584, 364.625, 335.938, 371.19, 150.596, 377.702, 150.519, 356.792, 150.655, 0, 0]"
460,"[441.633, 160.964, 452.111, 172.757, 429.884, 170.142, 406.425, 191.013, 382.922, 191.056, 474.275, 176.7, 486.045, 214.552, 474.308, 247.171, 442.919, 244.61, 440.327, 296.708, 441.652, 339.895, 467.78, 245.855, 484.763, 291.537, 504.319, 335.906, 439.026, 151.967, 444.256, 154.528, 0, 0, 458.634, 151.922]","[375.101, 159.71, 359.431, 187.118, 347.685, 189.755, 352.909, 231.498, 362.015, 265.435, 371.207, 184.509, 372.526, 224.984, 0, 0, 350.348, 260.243, 359.413, 308.495, 362.024, 321.668, 368.546, 257.637, 363.368, 305.918, 364.636, 337.247, 369.92, 151.943, 376.413, 151.901, 351.606, 153.194, 0, 0]"
461,"[445.581, 160.974, 453.457, 172.767, 431.215, 167.564, 410.283, 192.35, 384.209, 192.354, 475.654, 180.575, 486.037, 215.836, 475.578, 251.117, 441.647, 245.856, 439.043, 296.73, 441.633, 339.912, 466.475, 245.927, 484.698, 292.868, 504.294, 335.947, 444.277, 153.191, 452.076, 155.82, 444.256, 145.393, 465.128, 151.906]","[372.513, 163.631, 359.434, 192.364, 346.365, 193.667, 348.999, 236.738, 358.134, 273.297, 373.803, 191.024, 381.619, 226.279, 389.394, 255.051, 350.305, 262.844, 359.448, 313.755, 350.315, 355.508, 371.189, 258.912, 372.492, 300.685, 365.94, 334.621, 369.861, 160.971, 373.823, 160.954, 350.361, 160.99, 0, 0]"
462,"[450.785, 161.014, 454.715, 172.773, 432.493, 167.555, 410.316, 192.39, 384.239, 193.721, 478.2, 180.592, 486.023, 217.153, 475.621, 253.687, 441.626, 244.615, 437.754, 296.714, 441.638, 339.91, 466.495, 245.922, 484.686, 294.14, 504.292, 335.937, 446.865, 153.213, 454.701, 157.108, 444.237, 145.402, 467.779, 151.956]","[375.096, 170.176, 359.481, 197.566, 343.766, 202.781, 347.689, 243.227, 355.524, 271.988, 378.954, 193.661, 382.902, 230.207, 388.127, 257.622, 350.265, 265.403, 359.438, 309.828, 350.332, 355.527, 372.464, 261.549, 372.519, 304.597, 365.929, 335.939, 369.894, 162.414, 376.418, 162.378, 350.36, 163.636, 0, 0]"
463,"[453.423, 160.974, 456.04, 172.799, 433.798, 167.569, 411.601, 193.65, 385.54, 198.87, 482.119, 180.639, 486.036, 218.453, 476.877, 253.701, 441.631, 244.574, 437.742, 296.703, 441.629, 339.895, 467.753, 245.896, 484.68, 294.148, 504.27, 337.207, 452.083, 153.187, 456.056, 154.529, 445.584, 145.385, 472.946, 151.916]","[373.773, 172.846, 360.696, 202.804, 347.624, 204.163, 346.343, 245.905, 352.921, 277.178, 378.967, 198.883, 381.666, 235.448, 386.824, 265.49, 348.918, 266.801, 358.103, 309.818, 351.575, 356.808, 365.93, 266.734, 362.031, 308.568, 358.102, 347.673, 369.814, 170.194, 375.111, 170.152, 350.321, 171.46, 0, 0]"
464,"[457.295, 160.986, 462.542, 172.82, 436.422, 168.884, 415.574, 193.696, 401.228, 211.947, 486.038, 181.861, 486.059, 219.781, 478.21, 255.059, 442.884, 244.531, 439.028, 296.712, 441.609, 339.915, 470.372, 245.863, 484.712, 292.86, 504.264, 337.204, 454.739, 151.967, 463.853, 157.104, 453.408, 144.094, 475.618, 153.227]","[372.48, 188.433, 360.785, 215.87, 341.185, 223.647, 341.137, 265.421, 348.988, 299.377, 381.62, 213.217, 388.137, 244.536, 390.707, 275.865, 348.956, 277.215, 352.937, 321.556, 352.889, 359.464, 369.828, 275.871, 362.087, 320.264, 368.573, 339.864, 367.237, 183.206, 376.378, 181.961, 350.287, 185.817, 0, 0]"
465,"[463.836, 161.066, 463.84, 172.811, 437.76, 170.13, 422.039, 196.266, 407.73, 223.677, 487.348, 180.595, 486.095, 219.783, 479.518, 255.043, 442.958, 243.273, 440.313, 295.436, 441.612, 339.888, 472.93, 244.604, 484.729, 291.571, 504.271, 337.203, 461.228, 154.521, 467.761, 158.433, 454.701, 147.973, 480.817, 153.217]","[369.878, 196.305, 364.662, 224.996, 342.472, 227.623, 343.772, 275.842, 348.943, 317.682, 388.126, 223.671, 390.799, 256.265, 393.375, 286.343, 347.639, 281.128, 359.377, 318.975, 358.071, 358.117, 371.2, 279.823, 364.617, 318.99, 354.191, 358.125, 362.025, 192.41, 372.453, 192.349, 350.247, 194.961, 378.987, 193.618]"
