학교코드,학교명,지역,동,위도,경도,score_2nd
S010000472,성심여자고등학교,용산구,원효로2동,37.5343665,126.9537281,3.21
S010000509,오산고등학교,용산구,보광동,37.5235144,126.9996084,2.8
S010000597,용산철도고등학교,용산구,한강로동,37.52434312,126.9673563,5.1
S010000530,중경고등학교,용산구,이촌1동,37.5176813,126.9756393,8.36
S010000408,대성고등학교,은평구,갈현2동,37.62316997,126.9093611,3.7
S010000466,선일여자고등학교,은평구,갈현2동,37.61914,126.91287,3.7
S010000608,선일이비즈니스고등학교,은평구,갈현2동,37.620336,126.912002,6.7
S010000467,선정고등학교,은평구,갈현2동,37.61870442,126.9090313,9.7
S010000616,선정국제관광고등학교,은평구,갈현2동,37.618819,126.908452,3.7
S010000638,동명생활경영고등학교,은평구,대조동,37.61421,126.923068,3.5
S010000422,동명여자고등학교,은평구,대조동,37.61447741,126.9250155,3.5
S010000659,세명컴퓨터고등학교,은평구,불광2동,37.62777125,126.9232486,8.97
S010000481,숭실고등학교,은평구,신수동,37.59287316,126.9024048,6.48
S010000393,광성고등학교,마포구,신수동,37.54875850000001,126.9342021,3.48
S010005530,신도고등학교,은평구,진관동,37.62913413,126.9187475,5.12
S010000515,은평메디텍고등학교,은평구,진관동,37.63528400000001,126.929185,5.12
S010005525,진관고등학교,은평구,진관동,37.643662,126.924272,8.12
S010005616,하나고등학교,은평구,진관동,37.64163651,126.9369305,2.12
S010000595,신진과학기술고등학교,은평구,응암1동,37.59871321,126.91883490000002,9.27
S010000620,예일디자인고등학교,은평구,구산동,37.609594,126.915797,3.26
S010000506,예일여자고등학교,은평구,구산동,37.6108146,126.9153478,3.26
S010005583,은평고등학교,은평구,구산동,37.609211,126.906042,6.26
S010000546,충암고등학교,은평구,응암3동,37.584813,126.921298,6.71
S010000603,경기상업고등학교,종로구,청운효자동,37.58925,126.9697,5.21
S010000379,경복고등학교,종로구,청운효자동,37.587418,126.971434,5.21
S010000444,배화여자고등학교,종로구,청운효자동,37.57837045,126.9669116,2.21
S010000382,경신고등학교,종로구,혜화동,37.592173,127.000227,2.83
S010000424,동성고등학교,종로구,혜화동,37.58497032,127.0030976,2.83
S010000569,서울과학고등학교,종로구,혜화동,37.5915572,126.9984688,2.83
S010005494,서울국제고등학교,종로구,혜화동,37.5913416,126.9937893,2.83
S010000634,대동세무고등학교,종로구,가회동,37.58158201,126.9879496,2.36
S010000533,중앙고등학교,종로구,가회동,37.5840273,126.9868771,5.36
S010000409,대신고등학교,종로구,교남동,37.5735255,126.9618728,3.48
S010000417,덕성여자고등학교,종로구,삼청동,37.57776127,126.9835578,2.03
S010000450,상명대학교사범대학부속여자고등학교,종로구,부암동,37.603516,126.953837,2.16
S010000625,서울예술고등학교,종로구,평창동,37.60575727,126.9678915,2.09
S010000644,서일문화예술고등학교,종로구,창신3동,37.5793799,127.01279270000002,9.52
S010000633,대경상업고등학교,중구,신당동,37.55669583,127.0175331,2.31
S010000591,성동공업고등학교,중구,신당동,37.56936387,127.0172825,2.31
S010000617,성동글로벌경영고등학교,중구,신당동,37.56585408,127.0135238,2.31
S010000525,장충고등학교,중구,신당동,37.5526811,127.006058,5.31
S010000601,한양공업고등학교,중구,신당동,37.56587232,127.0114457,2.31
S010000656,리라아트고등학교,중구,필동,37.5571299,126.98822450000002,2.08
S010000604,서울의료보건고등학교,중구,중림동,37.55729791,126.9667217,3.06
S010000566,환일고등학교,중구,중림동,37.55382591,126.96221,3.06
S010000469,성동고등학교,중구,신당5동,37.56416247,127.0223883,6.07
S010000516,이화여자고등학교,중구,소공동,37.56569982,126.97055729999998,2.02
S010000575,이화여자외국어고등학교,중구,소공동,37.56557705,126.9696428,2.02
S010000430,면목고등학교,중랑구,면목3.8동,37.584781,127.096719,2.68
S010000475,송곡고등학교,중랑구,망우본동,37.60584697,127.1064637,5.5
S010000647,송곡관광고등학교,중랑구,망우본동,37.606334,127.10544,2.5
S010000476,송곡여자고등학교,중랑구,망우본동,37.6,127.1,2.5
S010000650,이화여자대학교병설미디어고등학교,중랑구,망우본동,37.60313060000001,127.1053319,2.5
S010005204,신현고등학교,중랑구,상봉1동,37.60524932,127.09295,6.52
S010005364,원묵고등학교,중랑구,묵1동,37.615506,127.086204,9.58
S010000547,태릉고등학교,중랑구,묵1동,37.61916257,127.0855595,3.58
S010000536,중화고등학교,중랑구,중화1동,37.604896,127.083203,3.4
S010000561,혜원여자고등학교,중랑구,망우3동,37.59328087,127.0970432,2.87
S010000579,경기기계공업고등학교,노원구,하계1동,37.63224131,127.0749298,6.57
S010000414,대진고등학교,노원구,하계1동,37.63780505,127.076091,6.57
S010000560,혜성여자고등학교,노원구,하계1동,37.640785,127.073503,3.57
S010000580,광운전자공업고등학교,노원구,월계1동,37.61924129999999,127.0565444,8.85
S010000404,노원고등학교,노원구,상계8동,37.6628057,127.0532928,6.79
S010000415,대진여자고등학교,노원구,중계2.3동,37.64612473,127.0671978,3.9
S010000451,상명고등학교,노원구,중계2.3동,37.64954799,127.068044,3.9
S010000599,서울아이티고등학교,노원구,중계2.3동,37.64241889,127.0624493,6.9
S010000587,미래산업과학고등학교,노원구,중계4동,37.6587784,127.0784425,3.07
S010000527,재현고등학교,노원구,중계4동,37.660141,127.079847,3.07
S010005263,불암고등학교,노원구,중계본동,37.64915826,127.0803044,9.39
S010000619,영신간호비즈니스고등학교,노원구,중계본동,37.6524538,127.08327690000002,9.39
S010000502,영신여자고등학교,노원구,중계본동,37.6524538,127.08327690000002,3.39
S010000449,상계고등학교,노원구,상계6.7동,37.65272604,127.0554547,6.62
S010000454,서라벌고등학교,노원구,중계1동,37.6452418,127.0758368,7.0
S010000651,서울동산고등학교,노원구,공릉2동,37.6302021,127.07506,8.24
S010000552,한국삼육고등학교,노원구,공릉2동,37.64335827,127.1088514,5.24
S010000478,수락고등학교,노원구,상계1동,37.6,127.0,5.4
S010000494,염광고등학교,노원구,월계2동,37.628422,127.049528,8.61
S010000649,염광여자메디텍고등학교,노원구,월계2동,37.629901,127.04856200000002,2.61
S010005262,월계고등학교,노원구,월계2동,37.63173247,127.0487142,5.61
S010000600,인덕과학기술고등학교,노원구,월계2동,37.631885,127.055742,5.61
S010000512,용화여자고등학교,노원구,상계10동,37.65913246,127.0582791,6.19
S010000544,청원고등학교,노원구,상계10동,37.666697,127.063081,6.19
S010000545,청원여자고등학교,노원구,상계10동,37.666141,127.061236,3.19
S010005181,누원고등학교,도봉구,도봉2동,37.68556743,127.049933,3.46
S010005206,도봉고등학교,도봉구,도봉1동,37.686756,127.0425782,2.06
S010000637,서울문화고등학교,도봉구,방학1동,37.66413242,127.0472847,6.81
S010000574,서울외국어고등학교,도봉구,창4동,37.64577944,127.0515108,3.67
S010005205,자운고등학교,도봉구,창4동,37.65904587,127.0506904,6.67
S010000465,선덕고등학교,도봉구,쌍문4동,37.65507873,127.0261507,3.92
S010000618,세그루패션디자인고등학교,도봉구,쌍문4동,37.655556,127.026449,3.92
S010000529,정의여자고등학교,도봉구,쌍문4동,37.652905,127.031038,3.92
S010000540,창동고등학교,도봉구,창1동,37.65103523,127.0388183,6.55
S010005288,효문고등학교,도봉구,쌍문1동,37.65269799,127.0183988,5.95
S010000384,경희고등학교,동대문구,이문1동,37.594912,127.054904,2.88
S010000385,경희여자고등학교,동대문구,회기동,37.594927,127.051115,2.58
S010000407,대광고등학교,동대문구,용신동,37.577939,127.024586,2.6
S010000420,동국대학교사범대학부속고등학교,동대문구,장안2동,37.577479,127.074495,6.4
S010000613,정화여자상업고등학교,동대문구,제기동,37.58578854,127.0410307,2.82
S010000543,청량고등학교,동대문구,청량리동,37.58888754,127.0513131,2.69
S010000614,해성국제컨벤션고등학교,동대문구,전농2동,37.581757,127.057237,3.33
S010005536,해성여자고등학교,동대문구,전농2동,37.580759,127.057155,3.33
S010000602,휘경공업고등학교,동대문구,전농2동,37.58522006,127.069729,9.33
S010000567,휘경여자고등학교,동대문구,전농2동,37.583858,127.06736200000002,3.33
S010005573,휘봉고등학교,동대문구,전농2동,37.5865082,127.0689973,9.33
S010000378,경문고등학교,동작구,사당2동,37.49309576,126.9816993,5.33
S010000427,동작고등학교,동작구,사당5동,37.48242773,126.9652308,6.0
S010000588,서울공업고등학교,동작구,대방동,37.50190153,126.9223643,9.64
S010000468,성남고등학교,동작구,대방동,37.506078,126.926218,3.64
S010000482,숭의여자고등학교,동작구,대방동,37.50736234,126.9292442,3.64
S010000497,영등포고등학교,동작구,대방동,37.508441,126.933946,6.64
S010000477,수도여자고등학교,동작구,신대방2동,37.4933845,126.91541399999998,3.01
S010000381,경성고등학교,마포구,연남동,37.563341,126.918767,5.93
S010000615,홍익디자인고등학교,마포구,연남동,37.562686,126.91972,2.93
S010005365,상암고등학교,마포구,상암동,37.58134123,126.8833956,5.14
S010000583,서울디자인고등학교,마포구,염리동,37.546691,126.947828,6.43
S010000460,서울여자고등학교,마포구,염리동,37.548077,126.9481861,3.43
S010000480,숭문고등학교,마포구,대흥동,37.55088946,126.9457706,2.43
S010000662,한세사이버보안고등학교,마포구,아현동,37.55200900000001,126.952001,6.17
S010000564,홍익대학교사범대학부속여자고등학교,마포구,성산1동,37.560173,126.91268,3.2
S010005591,가재울고등학교,서대문구,북가좌1동,37.574297,126.909499,6.69
S010000435,명지고등학교,서대문구,홍은2동,37.58425,126.927381,5.79
S010000517,이화여자대학교사범대학부속이화금란고등학교,서대문구,신촌동,37.56636584,126.947661,5.12
S010000518,인창고등학교,서대문구,충현동,37.565414,126.963492,2.74
S010000535,중앙여자고등학교,서대문구,북아현동,37.5626955,126.9527025,3.57
S010000555,한성고등학교,서대문구,북아현동,37.5598356,126.9545114,3.57
S010000570,한성과학고등학교,서대문구,천연동,37.57543545,126.952373,3.04
S010000421,동덕여자고등학교,서초구,방배3동,37.47587683,126.99199579999998,2.42
S010000452,상문고등학교,서초구,방배3동,37.47975498,127.0039164,8.42
S010000440,반포고등학교,서초구,반포1동,37.50270436,127.0165117,3.73
S010000455,서문여자고등학교,서초구,방배4동,37.4893031,126.9833064,3.69
S010000456,서울고등학교,서초구,서초3동,37.48429243,127.0049025,2.67
S010000463,서초고등학교,서초구,서초3동,37.48961196,127.0053778,5.67
S010000657,서울전자고등학교,서초구,방배2동,37.46972083,126.988361,2.5
S010000473,세화고등학교,서초구,반포2동,37.50195197,126.9916176,8.79
S010000474,세화여자고등학교,서초구,반포2동,37.502182,126.993286,2.79
S010000487,양재고등학교,서초구,서초2동,37.48242128,127.0320783,5.86
S010000491,언남고등학교,서초구,양재2동,37.47233011,127.0430034,5.05
S010005209,경일고등학교,성동구,성수1가1동,37.54382838,127.0478694,2.38
S010005523,성수고등학교,성동구,성수1가1동,37.54734217,127.038253,5.38
S010006381,금호고등학교,성동구,금호1가동,37.55325,127.02362,6.5
S010000636,덕수고등학교,성동구,사근동,37.55526278,127.0411407,2.52
S010000557,한양대학교사범대학부속고등학교,성동구,사근동,37.56191893,127.042326,2.52
S010006382,도선고등학교,성동구,왕십리도선동,37.567131,127.026809,6.31
S010000436,무학여자고등학교,성동구,행당1동,37.55676803,127.0335995,3.28
S010000585,서울방송고등학교,성동구,옥수동,37.54777313,127.0110355,2.46
S010000592,성수공업고등학교,성동구,성수2가1동,37.54054009,127.0512981,8.3
