기간	자치구	합계	합계	한부모가족지원법 수급자	한부모가족지원법 수급자	한부모가족지원법 수급자	한부모가족지원법 수급자	한부모가족지원법 수급자	한부모가족지원법 수급자	한부모가족지원법 수급자	한부모가족지원법 수급자	국민기초생활보장법 수급자	국민기초생활보장법 수급자	국가보훈법 수급자	국가보훈법 수급자
기간	자치구	합계	합계	소계	소계	재가보호	재가보호	시설보호	시설보호	미보호	미보호	국민기초생활보장법 수급자	국민기초생활보장법 수급자	국가보훈법 수급자	국가보훈법 수급자
기간	자치구	가구수	가구원수	가구수	가구원수	가구수	가구원수	가구수	가구원수	가구수	가구원수	가구수	가구원수	가구수	가구원수
2015	양천구	1,837	4,560	1,247	3,071	1,244	3,068	3	3	-	-	590	1,489	-	-
2015	강서구	2,805	6,866	1,759	4,311	1,744	4,296	15	15	-	-	1,046	2,555	-	-
2015	구로구	1,460	3,403	933	2,242	905	2,214	28	28	-	-	527	1,161	-	-
2015	금천구	1,575	3,785	898	2,192	894	2,188	4	4	-	-	677	1,593	-	-
2015	영등포구	890	2,115	579	1,406	579	1,406	-	-	-	-	311	709	-	-
2015	동작구	1,268	3,036	821	1,975	821	1,975	-	-	-	-	447	1,061	-	-
2015	관악구	1,830	4,465	1,157	2,848	1,157	2,848	-	-	-	-	673	1,617	-	-
2015	서초구	787	1,917	496	1,201	496	1,201	-	-	-	-	291	716	-	-
2015	강남구	1,278	3,142	663	1,622	663	1,622	-	-	-	-	615	1,520	-	-
2015	송파구	1,783	4,402	1,243	3,020	1,243	3,020	-	-	-	-	540	1,382	-	-
2015	강동구	1,589	3,965	993	2,463	993	2,463	-	-	-	-	596	1,502	-	-
2016	계	39,138	92,913	11,555	40,478	11,450	40,373	105	105	-	-	27,583	52,435	-	-
2016	종로구	454	1,087	187	582	178	573	9	9	-	-	267	505	-	-
2016	중구	409	938	114	411	114	411	-	-	-	-	295	527	-	-
2016	용산구	732	1,628	185	669	185	669	-	-	-	-	547	959	-	-
2016	성동구	970	2,298	244	904	243	903	1	1	-	-	726	1,394	-	-
2016	광진구	1,515	3,616	465	1,698	463	1,696	2	2	-	-	1,050	1,918	-	-
2016	동대문구	1,488	3,506	389	1,438	387	1,436	2	2	-	-	1,099	2,068	-	-
2016	중랑구	2,670	6,397	783	3,009	781	3,007	2	2	-	-	1,887	3,388	-	-
2016	성북구	1,823	4,357	558	1,937	554	1,933	4	4	-	-	1,265	2,420	-	-
2016	강북구	2,492	5,872	611	2,286	611	2,286	-	-	-	-	1,881	3,586	-	-
2016	도봉구	2,028	4,839	583	2,097	576	2,090	7	7	-	-	1,445	2,742	-	-
2016	노원구	3,064	7,220	728	2,604	727	2,603	1	1	-	-	2,336	4,616	-	-
2016	은평구	2,555	6,143	696	2,594	696	2,594	-	-	-	-	1,859	3,549	-	-
2016	서대문구	1,295	3,035	473	1,529	465	1,521	8	8	-	-	822	1,506	-	-
2016	마포구	1,092	2,572	427	1,236	417	1,226	10	10	-	-	665	1,336	-	-
2016	양천구	1,787	4,351	512	1,928	512	1,928	-	-	-	-	1,275	2,423	-	-
2016	강서구	2,633	6,265	877	2,893	863	2,879	14	14	-	-	1,756	3,372	-	-
2016	구로구	1,448	3,294	444	1,480	405	1,441	39	39	-	-	1,004	1,814	-	-
2016	금천구	1,542	3,615	412	1,473	409	1,470	3	3	-	-	1,130	2,142	-	-
2016	영등포구	829	1,922	245	864	245	864	-	-	-	-	584	1,058	-	-
2016	동작구	1,223	2,887	381	1,318	381	1,318	-	-	-	-	842	1,569	-	-
2016	관악구	1,769	4,241	641	2,024	641	2,024	-	-	-	-	1,128	2,217	-	-
2016	서초구	748	1,791	263	826	263	826	-	-	-	-	485	965	-	-
2016	강남구	1,230	2,955	320	1,078	317	1,075	3	3	-	-	910	1,877	-	-
2016	송파구	1,763	4,249	556	1,961	556	1,961	-	-	-	-	1,207	2,288	-	-
2016	강동구	1,579	3,835	461	1,639	461	1,639	-	-	-	-	1,118	2,196	-	-
2017	계	36,178	85,225	10,177	36,238	10,058	36,119	119	119	-	-	26,001	48,987	-	-
2017	종로구	406	958	159	493	152	486	7	7	-	-	247	465	-	-
2017	중구	389	899	119	408	119	408	-	-	-	-	270	491	-	-
2017	용산구	692	1,528	188	646	184	642	4	4	-	-	504	882	-	-
2017	성동구	901	2,109	240	866	236	862	4	4	-	-	661	1,243	-	-
2017	광진구	1,376	3,258	361	1,443	361	1,443	-	-	-	-	1,015	1,815	-	-
2017	동대문구	1,384	3,227	352	1,321	350	1,319	2	2	-	-	1,032	1,906	-	-
2017	중랑구	2,493	5,929	670	2,669	670	2,669	-	-	-	-	1,823	3,260	-	-
2017	성북구	1,679	4,027	497	1,782	491	1,776	6	6	-	-	1,182	2,245	-	-
2017	강북구	2,259	5,306	568	2,080	568	2,080	-	-	-	-	1,691	3,226	-	-
2017	도봉구	1,944	4,588	493	1,865	486	1,858	7	7	-	-	1,451	2,723	-	-
2017	노원구	2,854	6,611	638	2,315	635	2,312	3	3	-	-	2,216	4,296	-	-
2017	은평구	2,378	5,664	593	2,328	593	2,328	-	-	-	-	1,785	3,336	-	-
2017	서대문구	1,139	2,679	386	1,280	378	1,272	8	8	-	-	753	1,399	-	-
2017	마포구	978	2,267	373	1,054	353	1,034	20	20	-	-	605	1,213	-	-
2017	양천구	1,623	3,929	451	1,719	451	1,719	-	-	-	-	1,172	2,210	-	-
2017	강서구	2,393	5,674	760	2,540	746	2,526	14	14	-	-	1,633	3,134	-	-
2017	구로구	1,357	3,036	429	1,360	392	1,323	37	37	-	-	928	1,676	-	-
2017	금천구	1,417	3,268	367	1,313	363	1,309	4	4	-	-	1,050	1,955	-	-
2017	영등포구	713	1,643	213	732	213	732	-	-	-	-	500	911	-	-
2017	동작구	1,107	2,597	315	1,103	315	1,103	-	-	-	-	792	1,494	-	-
2017	관악구	1,716	4,097	585	1,888	585	1,888	-	-	-	-	1,131	2,209	-	-
2017	서초구	642	1,550	207	683	207	683	-	-	-	-	435	867	-	-
2017	강남구	1,163	2,762	294	975	291	972	3	3	-	-	869	1,787	-	-
2017	송파구	1,734	4,172	497	1,896	497	1,896	-	-	-	-	1,237	2,276	-	-
2017	강동구	1,441	3,447	422	1,479	422	1,479	-	-	-	-	1,019	1,968	-	-
2018	계	34,824	81,703	9,590	32,754	9,481	32,645	109	109	-	-	25,234	48,949	-	-
2018	종로구	391	923	154	470	152	468	2	2	-	-	237	453	-	-
2018	중구	371	850	103	363	103	363	-	-	-	-	268	487	-	-
2018	용산구	668	1,454	176	567	174	565	2	2	-	-	492	887	-	-
2018	성동구	882	2,006	240	802	223	785	17	17	-	-	642	1,204	-	-
2018	광진구	1,335	3,152	359	1,318	359	1,318	-	-	-	-	976	1,834	-	-
2018	동대문구	1,293	3,004	313	1,159	313	1,159	-	-	-	-	980	1,845	-	-
2018	중랑구	2,425	5,765	649	2,458	644	2,453	5	5	-	-	1,776	3,307	-	-
2018	성북구	1,608	3,867	493	1,687	484	1,678	9	9	-	-	1,115	2,180	-	-
2018	강북구	2,161	5,087	551	1,947	550	1,946	1	1	-	-	1,610	3,140	-	-
2018	도봉구	1,829	4,307	435	1,642	430	1,637	5	5	-	-	1,394	2,665	-	-
2018	노원구	2,783	6,367	590	2,048	586	2,044	4	4	-	-	2,193	4,319	-	-
2018	은평구	2,260	5,355	516	1,867	514	1,865	2	2	-	-	1,744	3,488	-	-
2018	서대문구	1,102	2,597	369	1,197	369	1,197	-	-	-	-	733	1,400	-	-
2018	마포구	981	2,264	333	974	317	958	16	16	-	-	648	1,290	-	-
2018	양천구	1,606	3,838	442	1,588	442	1,588	-	-	-	-	1,164	2,250	-	-
2018	강서구	2,356	5,595	800	2,533	788	2,521	12	12	-	-	1,556	3,062	-	-
2018	구로구	1,353	3,010	439	1,343	409	1,313	30	30	-	-	914	1,667	-	-
2018	금천구	1,338	3,094	369	1,237	365	1,233	4	4	-	-	969	1,857	-	-
2018	영등포구	661	1,529	191	660	191	660	-	-	-	-	470	869	-	-
2018	동작구	1,065	2,497	247	905	247	905	-	-	-	-	818	1,592	-	-
2018	관악구	1,573	3,687	508	1,597	508	1,597	-	-	-	-	1,065	2,090	-	-
2018	서초구	597	1,420	197	594	197	594	-	-	-	-	400	826	-	-
2018	강남구	1,058	2,563	254	872	254	872	-	-	-	-	804	1,691	-	-
2018	송파구	1,774	4,237	455	1,579	455	1,579	-	-	-	-	1,319	2,658	-	-
2018	강동구	1,354	3,235	407	1,347	407	1,347	-	-	-	-	947	1,888	-	-
2019	계	32,407	75,457	8,135	26,778	8,053	26,696	82	82	-	-	24,272	48,679	-	-
2019	종로구	367	855	140	415	138	413	2	2	-	-	227	440	-	-
2019	중구	365	815	93	330	93	330	-	-	-	-	272	485	-	-
2019	용산구	621	1,333	169	492	167	490	2	2	-	-	452	841	-	-
2019	성동구	804	1,843	207	672	197	662	10	10	-	-	597	1,171	-	-
2019	광진구	1,191	2,818	288	1,033	288	1,033	-	-	-	-	903	1,785	-	-
2019	동대문구	1,157	2,709	270	935	270	935	-	-	-	-	887	1,774	-	-
2019	중랑구	2,295	5,413	576	2,009	571	2,004	5	5	-	-	1,719	3,404	-	-
2019	성북구	1,433	3,348	375	1,261	371	1,257	4	4	-	-	1,058	2,087	-	-
2019	강북구	1,962	4,573	470	1,576	470	1,576	-	-	-	-	1,492	2,997	-	-
2019	도봉구	1,664	3,927	393	1,411	391	1,409	2	2	-	-	1,271	2,516	-	-
2019	노원구	2,629	6,003	477	1,646	476	1,645	1	1	-	-	2,152	4,357	-	-
2019	은평구	2,114	4,967	492	1,651	490	1,649	2	2	-	-	1,622	3,316	-	-
2019	서대문구	1,036	2,411	339	1,045	338	1,044	1	1	-	-	697	1,366	-	-
2019	마포구	905	2,073	265	770	253	758	12	12	-	-	640	1,303	-	-
2019	양천구	1,536	3,680	358	1,276	358	1,276	-	-	-	-	1,178	2,404	-	-
2019	강서구	2,198	5,166	661	2,049	659	2,047	2	2	-	-	1,537	3,117	-	-
2019	구로구	1,308	2,921	383	1,134	355	1,106	28	28	-	-	925	1,787	-	-
2019	금천구	1,265	2,874	324	1,021	313	1,010	11	11	-	-	941	1,853	-	-
2019	영등포구	645	1,468	185	607	185	607	-	-	-	-	460	861	-	-
2019	동작구	994	2,292	193	678	193	678	-	-	-	-	801	1,614	-	-
2019	관악구	1,475	3,404	420	1,306	420	1,306	-	-	-	-	1,055	2,098	-	-
2019	서초구	547	1,302	159	488	159	488	-	-	-	-	388	814	-	-
2019	강남구	973	2,294	190	596	190	596	-	-	-	-	783	1,698	-	-
2019	송파구	1,663	3,980	370	1,268	370	1,268	-	-	-	-	1,293	2,712	-	-
2019	강동구	1,260	2,988	338	1,109	338	1,109	-	-	-	-	922	1,879	-	-
