학교명,학급수,학생수,학급당평균학생수,교원수,자치구,전입학생수,전출학생수,주거환경,경제환경,사회환경,교육환경,청소년유동인구,한부모_가구수,한부모_가구원수,저소득,중간,고소득
동구마케팅고등학교,30.0,703.0,23.433333333333334,66.0,성북구,1.0,12.0,6.45,5.23,6.06,5.6,26439.558921354263,"1,433","3,348",11.8,49.3,38.8
성신여자고등학교,30.0,815.0,27.166666666666668,63.0,성북구,12.0,14.0,6.45,5.23,6.06,5.6,26439.558921354263,"1,433","3,348",11.8,49.3,38.8
용문고등학교,33.0,958.0,29.03030303030303,72.0,성북구,80.0,32.0,6.45,5.23,6.06,5.6,26439.558921354263,"1,433","3,348",11.8,49.3,38.8
한성여자고등학교,27.0,757.0,28.03703703703704,64.0,성북구,18.0,22.0,6.45,5.23,6.06,5.6,26439.558921354263,"1,433","3,348",11.8,49.3,38.8
홍익대학교사범대학부속고등학교,19.0,331.0,17.42105263157895,44.0,성북구,4.0,8.0,6.45,5.23,6.06,5.6,26439.558921354263,"1,433","3,348",11.8,49.3,38.8
가락고등학교,33.0,832.0,25.21212121212121,77.0,송파구,23.0,12.0,6.48,5.39,6.07,5.87,38195.56771020363,"1,663","3,980",16.8,61.9,21.3
문정고등학교,30.0,771.0,25.7,64.0,송파구,27.0,21.0,6.48,5.39,6.07,5.87,38195.56771020363,"1,663","3,980",16.8,61.9,21.3
문현고등학교,27.0,715.0,26.48148148148148,61.0,송파구,29.0,5.0,6.48,5.39,6.07,5.87,38195.56771020363,"1,663","3,980",16.8,61.9,21.3
방산고등학교,36.0,862.0,23.944444444444443,80.0,송파구,17.0,24.0,6.48,5.39,6.07,5.87,38195.56771020363,"1,663","3,980",16.8,61.9,21.3
서울체육고등학교,12.0,408.0,34.0,45.0,송파구,13.0,15.0,6.48,5.39,6.07,5.87,38195.56771020363,"1,663","3,980",16.8,61.9,21.3
송파공업고등학교,27.0,557.0,20.62962962962963,74.0,송파구,10.0,24.0,6.48,5.39,6.07,5.87,38195.56771020363,"1,663","3,980",16.8,61.9,21.3
오금고등학교,33.0,976.0,29.57575757575757,77.0,송파구,22.0,3.0,6.48,5.39,6.07,5.87,38195.56771020363,"1,663","3,980",16.8,61.9,21.3
잠신고등학교,36.0,734.0,20.38888888888889,83.0,송파구,31.0,21.0,6.48,5.39,6.07,5.87,38195.56771020363,"1,663","3,980",16.8,61.9,21.3
잠실고등학교,30.0,641.0,21.366666666666667,70.0,송파구,8.0,11.0,6.48,5.39,6.07,5.87,38195.56771020363,"1,663","3,980",16.8,61.9,21.3
잠일고등학교,24.0,399.0,16.625,55.0,송파구,19.0,24.0,6.48,5.39,6.07,5.87,38195.56771020363,"1,663","3,980",16.8,61.9,21.3
창덕여자고등학교,36.0,540.0,15.0,85.0,송파구,8.0,12.0,6.48,5.39,6.07,5.87,38195.56771020363,"1,663","3,980",16.8,61.9,21.3
배명고등학교,33.0,893.0,27.060606060606062,72.0,송파구,28.0,38.0,6.48,5.39,6.07,5.87,38195.56771020363,"1,663","3,980",16.8,61.9,21.3
보성고등학교,33.0,977.0,29.60606060606061,72.0,송파구,21.0,12.0,6.48,5.39,6.07,5.87,38195.56771020363,"1,663","3,980",16.8,61.9,21.3
보인고등학교,36.0,1116.0,31.0,73.0,송파구,19.0,51.0,6.48,5.39,6.07,5.87,38195.56771020363,"1,663","3,980",16.8,61.9,21.3
영동일고등학교,36.0,1033.0,28.694444444444443,79.0,송파구,28.0,13.0,6.48,5.39,6.07,5.87,38195.56771020363,"1,663","3,980",16.8,61.9,21.3
