학교명,학급수,학생수,학급당평균학생수,교원수,자치구,사설학원수,전입학생수(계),전출학생수(계),대분류,주거환경,경제환경,사회환경,교육환경
덕성여자고등학교,27.0,690.0,25.555555555555557,62.0,종로구,243,10.0,21.0,종로구,6.1,5.19,5.76,5.67
동성고등학교,31.0,857.0,27.64516129032258,75.0,종로구,243,40.0,67.0,종로구,6.1,5.19,5.76,5.67
배화여자고등학교,27.0,670.0,24.814814814814813,63.0,종로구,243,6.0,13.0,종로구,6.1,5.19,5.76,5.67
상명대학교사범대학부속여자고등학교,22.0,428.0,19.454545454545453,50.0,종로구,243,12.0,19.0,종로구,6.1,5.19,5.76,5.67
서울예술고등학교,30.0,1090.0,36.333333333333336,49.0,종로구,243,37.0,2.0,종로구,6.1,5.19,5.76,5.67
서일국제경영고등학교,15.0,267.0,17.8,33.0,종로구,243,,,종로구,6.1,5.19,5.76,5.67
중앙고등학교,30.0,975.0,32.5,71.0,종로구,243,30.0,38.0,종로구,6.1,5.19,5.76,5.67
경인고등학교,42.0,1174.0,27.952380952380953,95.0,구로구,394,17.0,17.0,구로구,6.59,5.54,5.93,5.72
고척고등학교,30.0,815.0,27.166666666666668,67.0,구로구,394,13.0,6.0,구로구,6.59,5.54,5.93,5.72
구로고등학교,33.0,884.0,26.78787878787879,79.0,구로구,394,28.0,10.0,구로구,6.59,5.54,5.93,5.72
구일고등학교,30.0,796.0,26.533333333333335,67.0,구로구,394,16.0,9.0,구로구,6.59,5.54,5.93,5.72
구현고등학교,27.0,737.0,27.296296296296298,65.0,구로구,394,10.0,15.0,구로구,6.59,5.54,5.93,5.72
세종과학고등학교,23.0,443.0,19.26086956521739,81.0,구로구,394,0.0,4.0,구로구,6.59,5.54,5.93,5.72
신도림고등학교,27.0,681.0,25.22222222222222,61.0,구로구,394,23.0,14.0,구로구,6.59,5.54,5.93,5.72
덕일전자공업고등학교,12.0,278.0,23.166666666666668,27.0,구로구,394,16.0,2.0,구로구,6.59,5.54,5.93,5.72
서서울생활과학고등학교,39.0,934.0,23.94871794871795,81.0,구로구,394,7.0,25.0,구로구,6.59,5.54,5.93,5.72
