학교명,학급수,학생수,학급당평균학생수,교원수,자치구,사설학원수,전입학생수(계),전출학생수(계),대분류,주거환경,경제환경,사회환경,교육환경
경성고등학교,24.0,688.0,28.666666666666668,54.0,마포구,689,30.0,11.0,마포구,6.44,5.47,6.0,5.58
광성고등학교,27.0,720.0,26.666666666666668,59.0,마포구,689,1.0,0.0,마포구,6.44,5.47,6.0,5.58
서울디자인고등학교,34.0,837.0,24.61764705882353,90.0,마포구,689,10.0,30.0,마포구,6.44,5.47,6.0,5.58
숭문고등학교,24.0,625.0,26.041666666666668,49.0,마포구,689,15.0,27.0,마포구,6.44,5.47,6.0,5.58
한세사이버보안고등학교,15.0,364.0,24.266666666666666,37.0,마포구,689,3.0,14.0,마포구,6.44,5.47,6.0,5.58
홍익대학교사범대학부속여자고등학교,24.0,752.0,31.333333333333332,55.0,마포구,689,14.0,10.0,마포구,6.44,5.47,6.0,5.58
홍익디자인고등학교,15.0,382.0,25.466666666666665,34.0,마포구,689,11.0,10.0,마포구,6.44,5.47,6.0,5.58
선린인터넷고등학교,36.0,904.0,25.11111111111111,82.0,용산구,154,2.0,17.0,용산구,6.41,5.34,5.94,5.77
용산고등학교,43.0,1097.0,25.511627906976745,93.0,용산구,154,26.0,20.0,용산구,6.41,5.34,5.94,5.77
용산공업고등학교,33.0,776.0,23.515151515151516,86.0,용산구,154,,,용산구,6.41,5.34,5.94,5.77
중경고등학교,24.0,448.0,18.666666666666668,55.0,용산구,154,27.0,31.0,용산구,6.41,5.34,5.94,5.77
배문고등학교,23.0,390.0,16.956521739130434,51.0,용산구,154,3.0,14.0,용산구,6.41,5.34,5.94,5.77
보성여자고등학교,21.0,546.0,26.0,46.0,용산구,154,9.0,7.0,용산구,6.41,5.34,5.94,5.77
서울디지텍고등학교,15.0,358.0,23.866666666666667,40.0,용산구,154,3.0,10.0,용산구,6.41,5.34,5.94,5.77
성심여자고등학교,27.0,599.0,22.185185185185187,62.0,용산구,154,12.0,16.0,용산구,6.41,5.34,5.94,5.77
신광여자고등학교,16.0,310.0,19.375,38.0,용산구,154,8.0,5.0,용산구,6.41,5.34,5.94,5.77
오산고등학교,24.0,568.0,23.666666666666668,52.0,용산구,154,14.0,14.0,용산구,6.41,5.34,5.94,5.77
성동고등학교,27.0,475.0,17.59259259259259,60.0,중구,109,6.0,14.0,중구,6.43,5.52,6.01,5.51
성동공업고등학교,35.0,868.0,24.8,89.0,중구,109,11.0,25.0,중구,6.43,5.52,6.01,5.51
성동글로벌경영고등학교,28.0,636.0,22.714285714285715,63.0,중구,109,3.0,10.0,중구,6.43,5.52,6.01,5.51
경기여자상업고등학교,15.0,358.0,23.866666666666667,34.0,중구,109,,,중구,6.43,5.52,6.01,5.51
대경상업고등학교,24.0,570.0,23.75,57.0,중구,109,10.0,11.0,중구,6.43,5.52,6.01,5.51
리라아트고등학교,18.0,455.0,25.27777777777778,45.0,중구,109,29.0,17.0,중구,6.43,5.52,6.01,5.51
이화여자고등학교,36.0,1226.0,34.05555555555556,83.0,중구,109,29.0,28.0,중구,6.43,5.52,6.01,5.51
이화여자외국어고등학교,18.0,403.0,22.38888888888889,39.0,중구,109,5.0,3.0,중구,6.43,5.52,6.01,5.51
장충고등학교,20.0,394.0,19.7,46.0,중구,109,6.0,14.0,중구,6.43,5.52,6.01,5.51
한양공업고등학교,36.0,911.0,25.305555555555557,91.0,중구,109,2.0,16.0,중구,6.43,5.52,6.01,5.51
환일고등학교,30.0,762.0,25.4,69.0,중구,109,7.0,15.0,중구,6.43,5.52,6.01,5.51
신도고등학교,27.0,617.0,22.85185185185185,61.0,은평구,519,19.0,6.0,은평구,6.37,5.57,5.93,5.49
은평고등학교,24.0,537.0,22.375,53.0,은평구,519,23.0,9.0,은평구,6.37,5.57,5.93,5.49
진관고등학교,32.0,772.0,24.125,72.0,은평구,519,34.0,10.0,은평구,6.37,5.57,5.93,5.49
대성고등학교,30.0,875.0,29.166666666666668,66.0,은평구,519,11.0,64.0,은평구,6.37,5.57,5.93,5.49
동명여자고등학교,39.0,1105.0,28.333333333333332,80.0,은평구,519,17.0,20.0,은평구,6.37,5.57,5.93,5.49
동명여자정보산업고등학교,15.0,341.0,22.733333333333334,35.0,은평구,519,,,은평구,6.37,5.57,5.93,5.49
선일여자고등학교,32.0,738.0,23.0625,71.0,은평구,519,13.0,11.0,은평구,6.37,5.57,5.93,5.49
선일이비즈니스고등학교,27.0,630.0,23.333333333333332,59.0,은평구,519,3.0,19.0,은평구,6.37,5.57,5.93,5.49
선정고등학교,39.0,1171.0,30.025641025641026,81.0,은평구,519,18.0,12.0,은평구,6.37,5.57,5.93,5.49
선정국제관광고등학교,15.0,339.0,22.6,40.0,은평구,519,7.0,10.0,은평구,6.37,5.57,5.93,5.49
세명컴퓨터고등학교,25.0,630.0,25.2,67.0,은평구,519,7.0,12.0,은평구,6.37,5.57,5.93,5.49
숭실고등학교,39.0,1105.0,28.333333333333332,82.0,은평구,519,43.0,25.0,은평구,6.37,5.57,5.93,5.49
신진과학기술고등학교,24.0,584.0,24.333333333333332,66.0,은평구,519,3.0,10.0,은평구,6.37,5.57,5.93,5.49
예일디자인고등학교,24.0,613.0,25.541666666666668,54.0,은평구,519,11.0,9.0,은평구,6.37,5.57,5.93,5.49
예일여자고등학교,36.0,991.0,27.52777777777778,85.0,은평구,519,14.0,26.0,은평구,6.37,5.57,5.93,5.49
은평메디텍고등학교,23.0,477.0,20.73913043478261,59.0,은평구,519,7.0,14.0,은평구,6.37,5.57,5.93,5.49
충암고등학교,39.0,1070.0,27.435897435897434,83.0,은평구,519,24.0,18.0,은평구,6.37,5.57,5.93,5.49
하나고등학교,24.0,617.0,25.708333333333332,56.0,은평구,519,7.0,9.0,은평구,6.37,5.57,5.93,5.49
청량고등학교,36.0,847.0,23.52777777777778,85.0,동대문구,350,33.0,17.0,동대문구,6.1,5.16,5.86,5.55
휘경공업고등학교,29.0,402.0,13.862068965517242,78.0,동대문구,350,5.0,19.0,동대문구,6.1,5.16,5.86,5.55
휘봉고등학교,23.0,449.0,19.52173913043478,56.0,동대문구,350,28.0,12.0,동대문구,6.1,5.16,5.86,5.55
경희고등학교,24.0,752.0,31.333333333333332,53.0,동대문구,350,21.0,39.0,동대문구,6.1,5.16,5.86,5.55
경희여자고등학교,23.0,500.0,21.73913043478261,53.0,동대문구,350,7.0,10.0,동대문구,6.1,5.16,5.86,5.55
대광고등학교,29.0,957.0,33.0,61.0,동대문구,350,9.0,33.0,동대문구,6.1,5.16,5.86,5.55
동국대학교사범대학부속고등학교,33.0,949.0,28.757575757575758,73.0,동대문구,350,33.0,20.0,동대문구,6.1,5.16,5.86,5.55
정화여자상업고등학교,19.0,334.0,17.57894736842105,43.0,동대문구,350,5.0,7.0,동대문구,6.1,5.16,5.86,5.55
해성국제컨벤션고등학교,27.0,635.0,23.51851851851852,61.0,동대문구,350,4.0,18.0,동대문구,6.1,5.16,5.86,5.55
해성여자고등학교,27.0,673.0,24.925925925925927,58.0,동대문구,350,16.0,6.0,동대문구,6.1,5.16,5.86,5.55
휘경여자고등학교,33.0,851.0,25.78787878787879,71.0,동대문구,350,13.0,23.0,동대문구,6.1,5.16,5.86,5.55
