지역,학교코드,학교명,설립구분,학교특성,설립유형,개교기념일,법정동코드,위도,경도,"남녀공학 
 구분",학급당 학생수,수업 교원 1인당 학생수,학급수,학생수,학생수_남,학생수_여,교사수,교사1인당_주당평균수업시수
송파구,S010005182,방산고등학교,공립,일반고등학교,단설,20030930,1171011100,37.5083997,127.120472,남녀공학,23.9,12,36,862,447,415,72,15.9
중랑구,S010005204,신현고등학교,공립,일반고등학교,단설,20040429,1126010200,37.60524932,127.09295,남녀공학,22.9,12.4,27,618,304,314,50,17.2
도봉구,S010005205,자운고등학교,공립,일반고등학교,단설,20040423,1132010700,37.65904587,127.0506904,남녀공학,24.2,11.9,30,727,414,313,61,16.3
도봉구,S010005206,도봉고등학교,공립,일반고등학교,단설,20040504,1132010800,37.686756,127.0425782,남녀공학,13.9,7.1,20,277,114,163,39,14.5
강서구,S010005208,등촌고등학교,공립,자율고등학교,단설,20040301,1150010200,37.56294567,126.8450457,남녀공학,20.5,11.2,30,615,251,364,55,16.7
성동구,S010005209,경일고등학교,공립,자율고등학교,단설,20040506,1120011400,37.54382838,127.0478694,남녀공학,16.9,8.9,22,372,171,201,42,14.7
영등포구,S010005261,선유고등학교,공립,일반고등학교,단설,20050526,1156012800,37.5339205,126.8948722,남녀공학,21.9,11.2,27,591,292,299,53,15.6
노원구,S010005262,월계고등학교,공립,일반고등학교,단설,20050301,1135010200,37.63173247,127.0487142,남녀공학,19.9,10.8,30,596,337,259,55,16.1
노원구,S010005263,불암고등학교,공립,일반고등학교,단설,20050301,1135010600,37.64915826,127.0803044,남녀공학,25.1,12.4,36,902,462,440,73,15.2
강서구,S010005270,세현고등학교,공립,일반고등학교,단설,20060506,1150010400,37.560416,126.863464,남녀공학,22.3,11.8,27,603,295,308,51,16
양천구,S010005285,신서고등학교,공립,일반고등학교,단설,20060525,1147010100,37.5238435,126.857988,남녀공학,24,12,24,576,320,256,48,15.3
도봉구,S010005288,효문고등학교,공립,일반고등학교,단설,20060605,1132010500,37.65269799,127.0183988,남녀공학,19.6,10.2,26,509,260,249,50,17.3
중랑구,S010005364,원묵고등학교,공립,자율고등학교,단설,20070531,1126010400,37.615506,127.086204,남녀공학,26.7,12.2,27,722,412,310,59,15.9
마포구,S010005365,상암고등학교,공립,자율고등학교,단설,20070510,1144012700,37.58134123,126.8833956,남녀공학,28.8,14.9,33,952,384,568,64,17.6
종로구,S010005494,서울국제고등학교,공립,특수목적고등학교,단설,20080507,1111017000,37.5913416,126.9937893,남녀공학,25,8.2,18,450,125,325,55,10.4
송파구,S010005498,문정고등학교,공립,일반고등학교,단설,20080422,1171010800,37.48517967,127.1266941,남녀공학,25.7,14,30,771,407,364,55,16.3
구로구,S010005500,세종과학고등학교,공립,특수목적고등학교,단설,20080415,1153010900,37.4971937,126.8253536,남녀공학,19.3,6.3,23,443,363,80,70,11.8
구로구,S010005501,구현고등학교,공립,자율고등학교,단설,20080301,1153010200,37.50228196,126.874417,남녀공학,27.3,13.9,27,737,323,414,53,16
강북구,S010005518,삼각산고등학교,공립,일반고등학교,단설,20110301,1130510100,37.61628709,127.0201069,남녀공학,23.1,9.8,28,647,329,318,66,14.8
구로구,S010005521,신도림고등학교,공립,일반고등학교,단설,20090301,1153010100,37.5137691,126.8822616,남녀공학,25.2,13.6,27,681,342,339,50,16.6
강동구,S010005522,강일고등학교,공립,일반고등학교,단설,20100404,1174011000,37.56382873,127.1779057,남녀공학,19.4,10.7,27,524,301,223,49,16.8
성동구,S010005523,성수고등학교,공립,일반고등학교,단설,20090301,1120011400,37.54734217,127.038253,남녀공학,18.9,9.8,27,510,180,330,52,16.2
송파구,S010005524,문현고등학교,공립,일반고등학교,단설,20100301,1171010900,37.481244,127.128992,남녀공학,26.5,14.3,27,715,351,364,50,17.5
은평구,S010005525,진관고등학교,공립,일반고등학교,단설,20090604,1138011400,37.643662,126.924272,남녀공학,24.1,12.1,32,772,401,371,64,17.2
관악구,S010005528,구암고등학교,공립,일반고등학교,단설,20120501,1162010100,37.492264,126.9475306,남녀공학,24.3,11.7,26,633,357,276,54,15.9
은평구,S010005530,신도고등학교,공립,일반고등학교,단설,20110301,1138011400,37.62913413,126.9187475,남녀공학,22.9,12.3,27,617,320,297,50,15.8
동대문구,S010005536,해성여자고등학교,사립,일반고등학교,단설,20080301,1123010400,37.580759,127.057155,녀,24.9,13.2,27,673,0,673,51,17.3
강북구,S010005541,미양고등학교,공립,자율고등학교,단설,20090610,1130510100,37.62402,127.012109,남녀공학,23.7,12.6,24,569,333,236,45,16
강동구,S010005563,선사고등학교,공립,일반고등학교,단설,20110501,1174010700,37.556548,127.135694,남녀공학,21.9,10.5,27,590,315,275,56,15.3
송파구,S010005566,잠일고등학교,공립,일반고등학교,단설,20120506,1171010100,37.51443,127.082425,남녀공학,16.6,8.1,24,399,212,187,49,14.1
동대문구,S010005573,휘봉고등학교,공립,일반고등학교,단설,20120501,1123010900,37.5865082,127.0689973,남녀공학,19.5,8.8,23,449,257,192,51,13.6
강서구,S010005582,수명고등학교,공립,일반고등학교,단설,20090504,1150010600,37.54975914,126.8247531,남녀공학,22,12.1,27,595,287,308,49,16
은평구,S010005583,은평고등학교,공립,일반고등학교,단설,20090301,1138010500,37.609211,126.906042,남녀공학,22.4,10.5,24,537,255,282,51,14.4
구로구,S010005584,서울공연예술고등학교,사립,특수목적고등학교,단설,19661002,1153010900,37.50008507,126.8321523,남녀공학,37.2,21.1,21,782,238,544,37,15.2
서대문구,S010005591,가재울고등학교,공립,일반고등학교,단설,20130501,1141011900,37.574297,126.909499,남녀공학,25.7,13.3,27,693,336,357,52,16.4
은평구,S010005616,하나고등학교,사립,자율고등학교,단설,20091031,1138011400,37.64163651,126.9369305,남녀공학,25.7,10.3,24,617,310,307,60,14
