자치구,CCTV 용도,위도,경도,CCTV 수량
중랑구,방범,37.58073006,127.0890462,1
중랑구,방범,37.58885904,127.0997583,2
중랑구,방범,37.58543015,127.0954971,3
중랑구,방범,37.60352325,127.1033478,4
중랑구,방범,37.60021867,127.0977938,2
중랑구,방범,37.58009788,127.091279,1
중랑구,방범,37.59765244,127.0883636,3
중랑구,방범,37.60342026,127.0861282,1
중랑구,방범,37.58823395,127.0938416,3
중랑구,방범,37.59471193,127.0981557,3
중랑구,방범,37.59930801,127.1014404,2
중랑구,방범,37.59662247,127.0801086,3
중랑구,방범,37.60046387,127.085083,4
중랑구,방범,37.57605362,127.0826492,3
중랑구,방범,37.59699631,127.0842896,3
중랑구,방범,37.59835662,127.0877687,4
중랑구,방범,37.61556962,127.0808721,1
중랑구,방범,37.60292435,127.0847015,2
중랑구,방범,37.59950511,127.0896896,3
중랑구,방범,37.59791016,127.1013058,2
중랑구,방범,37.6036644,127.0857315,3
중랑구,방범,37.60429978,127.0795853,4
중랑구,방범,37.60250467,127.0949572,3
중랑구,방범,37.61106029,127.0799597,4
중랑구,방범,37.5852623,127.0938187,4
중랑구,방범,37.60273743,127.0834885,3
중랑구,방범,37.5863509,127.091625,4
중랑구,방범,37.5982132,127.086174,2
중랑구,방범,37.61635114,127.0755307,4
중랑구,방범,37.61497116,127.0731201,3
중랑구,방범,37.59475327,127.0819702,3
중랑구,방범,37.59324265,127.0856934,1
중랑구,방범,37.61485291,127.080864,4
중랑구,방범,37.5927887,127.094696,4
중랑구,방범,37.61820984,127.0871658,3
중랑구,방범,37.58969582,127.0903377,2
중랑구,방범,37.58358002,127.0889053,3
중랑구,방범,37.58704885,127.089434,2
중랑구,방범,37.61028671,127.0754318,2
중랑구,방범,37.5775238,127.0850258,1
중랑구,방범,37.59405136,127.0954666,4
중랑구,방범,37.58276367,127.0867004,4
중랑구,방범,37.5843544,127.0869293,4
중랑구,방범,37.62044144,127.1062469,3
중랑구,방범,37.57776185,127.0893277,1
중랑구,방범,37.59135818,127.0861893,2
중랑구,방범,37.59635544,127.0840149,3
중랑구,방범,37.59211273,127.0781201,2
중랑구,방범,37.58573711,127.0784032,4
중랑구,방범,37.60026169,127.0829163,3
중랑구,방범,37.60741043,127.0995865,4
중랑구,방범,37.60600981,127.0770324,3
중랑구,방범,37.58090094,127.0878375,3
중랑구,방범,37.60287094,127.0810547,2
중랑구,방범,37.61459732,127.1007996,4
중랑구,방범,37.61091232,127.0941467,3
중랑구,방범,37.60542679,127.1045761,2
중랑구,방범,37.59506989,127.071022,3
중랑구,방범,37.59080124,127.0926132,1
중랑구,방범,37.57842522,127.0867187,1
중랑구,방범,37.59269675,127.092849,5
중랑구,방범,37.58239365,127.0854721,4
중랑구,방범,37.58006836,127.0908408,2
중랑구,방범,37.60431923,127.0939483,2
중랑구,방범,37.58190149,127.0944005,4
중랑구,방범,37.60078125,127.0761662,1
중랑구,방범,37.61224033,127.0971116,4
중랑구,방범,37.60411991,127.0989182,3
중랑구,방범,37.58868027,127.0812149,2
중랑구,방범,37.59341491,127.0893053,3
중랑구,방범,37.5775528,127.0803604,3
중랑구,방범,37.57176476,127.0871824,3
중랑구,방범,37.59749759,127.1010437,2
중랑구,방범,37.59462357,127.0973282,1
중랑구,방범,37.59405194,127.0866591,1
중랑구,방범,37.59540558,127.0733719,4
중랑구,방범,37.59579838,127.0708616,4
중랑구,방범,37.57204722,127.0815917,3
중랑구,방범,37.59623869,127.103383,3
중랑구,방범,37.60046005,127.0919342,4
중랑구,방범,37.59786895,127.085948,1
중랑구,방범,37.59908368,127.0936859,1
중랑구,방범,37.59683228,127.083931,3
중랑구,방범,37.60242844,127.0995789,2
중랑구,방범,37.59971619,127.08181,4
중랑구,방범,37.59917843,127.1035835,3
중랑구,방범,37.60207748,127.0875549,2
중랑구,방범,37.59586716,127.0940933,4
중랑구,방범,37.60312653,127.10215,3
중랑구,방범,37.59796579,127.1018387,3
중랑구,방범,37.60171127,127.0870819,3
중랑구,방범,37.57427979,127.0869446,4
중랑구,방범,37.57779312,127.0877075,4
중랑구,방범,37.59362411,127.0872955,2
중랑구,방범,37.59185028,127.074379,3
중랑구,방범,37.60144591,127.1075981,1
중랑구,방범,37.59064484,127.0948334,2
중랑구,방범,37.60310083,127.0757466,4
중랑구,방범,37.591334,127.0832424,2
중랑구,방범,37.61975205,127.0844697,3
중랑구,방범,37.61705017,127.08004,2
중랑구,방범,37.60126437,127.1065348,1
중랑구,방범,37.60046005,127.0997772,3
중랑구,방범,37.600793,127.0883653,3
중랑구,방범,37.60887909,127.0771561,3
중랑구,방범,37.58846509,127.0848522,1
중랑구,방범,37.60202459,127.1011156,3
중랑구,방범,37.59992106,127.0894701,2
중랑구,방범,37.58713913,127.0790863,2
중랑구,방범,37.58586206,127.0816007,2
중랑구,방범,37.58678055,127.0772247,4
중랑구,방범,37.59848785,127.1049042,3
중랑구,방범,37.59921462,127.0943852,2
중랑구,방범,37.58525085,127.0889511,4
중랑구,방범,37.59643046,127.0928594,2
중랑구,방범,37.58117171,127.0897559,3
중랑구,방범,37.57460391,127.0824781,1
중랑구,방범,37.58781052,127.0838852,2
중랑구,방범,37.58882904,127.0986862,3
중랑구,방범,37.60459137,127.1035385,3
중랑구,방범,37.5968132,127.071022,3
중랑구,방범,37.60824966,127.0776596,3
중랑구,방범,37.59373754,127.0778885,1
중랑구,방범,37.58805506,127.0744996,3
중랑구,방범,37.5857048,127.0751724,1
중랑구,방범,37.58703183,127.0874546,3
중랑구,방범,37.58842087,127.0901871,4
중랑구,방범,37.58823929,127.0808216,3
중랑구,방범,37.58823395,127.0953064,2
