구,학교명,학교코드,내부상담_실시여부,외부상담_실시여부,wee클래스_운영여부,학교폭력_예방교육_평균교육시간(1학급당)
금천구,문일고등학교,S010000438,0,0,1,147.8
성북구,경동고등학교,S010000377,1,1,1,715.2
성북구,계성고등학교,S010000386,1,1,0,116.0
성북구,고려대학교사범대학부속고등학교,S010000387,1,1,1,500.0
성북구,고명외식고등학교,S010000629,1,1,0,140.0
성북구,대일외국어고등학교,S010000572,0,1,0,740.0
성북구,동구마케팅고등학교,S010000605,0,1,1,600.0
성북구,서울대학교사범대학부설고등학교,S000003561,1,0,1,416.6
성북구,서울도시과학기술고등학교,S010000590,1,1,1,240.0
성북구,석관고등학교,S010000464,1,1,1,264.8
성북구,성신여자고등학교,S010000471,1,1,1,500.0
성북구,용문고등학교,S010000510,1,0,1,203.6
성북구,한성여자고등학교,S010000556,1,1,1,1066.6
성북구,홍익대학교사범대학부속고등학교,S010000563,1,1,1,200.0
송파구,가락고등학교,S010000370,1,1,1,197.0
송파구,문정고등학교,S010005498,1,1,1,650.2
송파구,문현고등학교,S010005524,1,1,1,660.0
송파구,방산고등학교,S010005182,1,1,1,277.0
송파구,배명고등학교,S010000441,1,1,1,700.0
송파구,보성고등학교,S010000446,1,1,1,100.0
송파구,보인고등학교,S010000640,1,1,1,500.0
송파구,서울체육고등학교,S010000461,1,1,1,108.4
송파구,송파공업고등학교,S010000593,1,1,1,416.6
송파구,영동일고등학교,S010000496,1,0,1,506.0
송파구,영파여자고등학교,S010000504,1,0,1,900.0
송파구,오금고등학교,S010000507,1,1,1,87.5
송파구,일신여자상업고등학교,S010000612,1,0,1,960.0
송파구,잠신고등학교,S010000522,1,1,1,350.0
송파구,잠실고등학교,S010000523,1,1,1,1350.0
송파구,잠실여자고등학교,S010000524,1,0,1,315.3
송파구,잠일고등학교,S010005566,1,1,1,100.0
송파구,정신여자고등학교,S010000528,1,1,1,280.0
송파구,창덕여자고등학교,S010000539,1,1,1,97.9
양천구,강서고등학교,S010000372,0,0,1,544.4
양천구,광영고등학교,S010000396,1,1,0,210.7
양천구,광영여자고등학교,S010000397,1,1,1,1030.0
양천구,금옥여자고등학교,S010000401,1,1,1,132.8
양천구,대일관광고등학교,S010000635,0,0,0,417.4
양천구,목동고등학교,S010000490,1,0,0,333.3
양천구,백암고등학교,S010000445,1,1,1,633.4
양천구,서울금융고등학교,S010000642,1,1,1,173.9
양천구,서울영상고등학교,S010000500,1,1,1,307.2
양천구,신목고등학교,S010000485,1,1,1,307.1
양천구,신서고등학교,S010005285,1,1,1,145.2
양천구,양정고등학교,S010000488,1,0,0,404.2
양천구,양천고등학교,S010000489,1,1,1,236.6
양천구,진명여자고등학교,S010000537,1,1,1,80.0
양천구,한가람고등학교,S010000549,1,1,0,450.0
영등포구,관악고등학교,S010000390,1,1,1,480.0
영등포구,대영고등학교,S010000410,1,1,1,200.0
영등포구,선유고등학교,S010005261,1,1,1,208.4
영등포구,여의도고등학교,S010000492,1,1,1,120.7
영등포구,여의도여자고등학교,S010000493,1,1,1,200.0
영등포구,영등포여자고등학교,S010000498,1,0,1,595.1
영등포구,영신고등학교,S010000501,1,1,1,288.9
영등포구,장훈고등학교,S010000526,1,1,0,127.6
영등포구,한강미디어고등학교,S010000550,1,1,1,250.0
용산구,배문고등학교,S010000442,1,0,1,480.0
용산구,보성여자고등학교,S010000447,1,0,1,316.7
용산구,서울디지텍고등학교,S010000589,1,1,1,151.0
용산구,선린인터넷고등학교,S010000658,1,0,1,193.8
용산구,성심여자고등학교,S010000472,1,1,1,420.0
용산구,신광여자고등학교,S010000483,1,1,1,309.4
용산구,오산고등학교,S010000509,1,1,1,236.6
용산구,용산고등학교,S010000511,1,0,1,927.0
용산구,용산철도고등학교,S010000597,1,1,0,900.0
용산구,중경고등학교,S010000530,1,1,1,124.8
은평구,대성고등학교,S010000408,0,0,0,386.7
은평구,동명생활경영고등학교,S010000638,1,1,0,793.3
은평구,동명여자고등학교,S010000422,1,1,1,719.4
은평구,선일여자고등학교,S010000466,0,0,1,478.1
은평구,선일이비즈니스고등학교,S010000608,1,1,0,377.4
은평구,선정고등학교,S010000467,1,1,1,317.0
은평구,선정국제관광고등학교,S010000616,0,1,0,88.0
은평구,세명컴퓨터고등학교,S010000659,1,1,1,943.2
은평구,숭실고등학교,S010000481,1,1,0,650.0
은평구,신도고등학교,S010005530,1,1,1,214.6
은평구,신진과학기술고등학교,S010000595,1,0,1,107.9
은평구,예일디자인고등학교,S010000620,0,1,0,325.0
은평구,예일여자고등학교,S010000506,0,0,1,109.4
은평구,은평고등학교,S010005583,1,1,1,360.0
은평구,은평메디텍고등학교,S010000515,1,1,1,395.7
은평구,진관고등학교,S010005525,1,0,1,340.0
은평구,충암고등학교,S010000546,1,1,1,600.0
은평구,하나고등학교,S010005616,1,0,0,110.0
종로구,경기상업고등학교,S010000603,1,1,1,682.5
종로구,경복고등학교,S010000379,1,1,1,640.0
종로구,경신고등학교,S010000382,1,0,1,373.4
종로구,대동세무고등학교,S010000634,1,0,1,85.9
종로구,대신고등학교,S010000409,1,1,1,457.8
종로구,덕성여자고등학교,S010000417,1,1,1,433.3
종로구,동성고등학교,S010000424,1,1,0,182.3
종로구,배화여자고등학교,S010000444,1,1,1,380.0
종로구,상명대학교사범대학부속여자고등학교,S010000450,1,1,0,754.6
종로구,서울과학고등학교,S010000569,1,0,0,460.5
종로구,서울국제고등학교,S010005494,1,1,1,401.1
종로구,서울예술고등학교,S010000625,0,0,0,200.0
종로구,서일문화예술고등학교,S010000644,1,1,0,139.5
종로구,중앙고등학교,S010000533,1,1,1,94.0
중구,대경상업고등학교,S010000633,0,1,0,291.7
중구,리라아트고등학교,S010000656,1,1,1,400.0
중구,서울의료보건고등학교,S010000604,1,1,0,266.7
중구,성동고등학교,S010000469,1,1,1,133.4
중구,성동공업고등학교,S010000591,1,1,1,820.3
중구,성동글로벌경영고등학교,S010000617,1,1,1,483.9
중구,이화여자고등학교,S010000516,1,1,0,480.0
중구,이화여자외국어고등학교,S010000575,0,1,0,203.3
중구,장충고등학교,S010000525,1,1,1,700.0
중구,한양공업고등학교,S010000601,1,1,1,900.0
중구,환일고등학교,S010000566,1,0,0,100.0
중랑구,면목고등학교,S010000430,1,0,1,190.0
중랑구,송곡고등학교,S010000475,1,1,1,188.0
중랑구,송곡관광고등학교,S010000647,1,1,0,88.1
중랑구,송곡여자고등학교,S010000476,1,1,1,350.0
중랑구,신현고등학교,S010005204,1,1,1,150.0
중랑구,원묵고등학교,S010005364,1,1,1,140.0
중랑구,이화여자대학교병설미디어고등학교,S010000650,1,1,1,200.0
중랑구,중화고등학교,S010000536,1,1,1,1243.1
중랑구,태릉고등학교,S010000547,1,1,1,88.8
중랑구,혜원여자고등학교,S010000561,1,1,1,453.7
노원구,경기기계공업고등학교,S010000579,1,1,1,102.0
노원구,광운전자공업고등학교,S010000580,1,0,1,100.0
노원구,노원고등학교,S010000404,1,0,1,88.8
노원구,대진고등학교,S010000414,1,1,1,281.8
노원구,대진여자고등학교,S010000415,1,1,0,240.0
노원구,미래산업과학고등학교,S010000587,1,1,1,100.0
노원구,불암고등학교,S010005263,1,0,1,400.0
노원구,상계고등학교,S010000449,1,1,1,103.0
노원구,상명고등학교,S010000451,1,1,1,897.0
노원구,서라벌고등학교,S010000454,1,0,1,171.0
노원구,서울동산고등학교,S010000651,1,1,0,540.0
노원구,서울아이티고등학교,S010000599,1,1,1,543.3
노원구,수락고등학교,S010000478,1,1,1,201.9
노원구,염광고등학교,S010000494,1,1,1,165.0
노원구,염광여자메디텍고등학교,S010000649,0,0,0,185.7
노원구,영신간호비즈니스고등학교,S010000619,0,1,0,980.0
노원구,영신여자고등학교,S010000502,0,1,1,176.6
노원구,용화여자고등학교,S010000512,1,0,1,123.1
노원구,월계고등학교,S010005262,1,1,1,111.2
노원구,인덕과학기술고등학교,S010000600,1,1,1,200.0
노원구,재현고등학교,S010000527,1,1,1,291.6
노원구,청원고등학교,S010000544,1,0,1,660.0
노원구,청원여자고등학교,S010000545,1,0,1,672.3
노원구,한국삼육고등학교,S010000552,1,0,1,500.0
노원구,혜성여자고등학교,S010000560,1,1,1,124.4
도봉구,누원고등학교,S010005181,1,1,1,478.2
도봉구,도봉고등학교,S010005206,1,0,1,240.0
도봉구,서울문화고등학교,S010000637,1,1,1,227.6
도봉구,서울외국어고등학교,S010000574,1,0,0,360.0
도봉구,선덕고등학교,S010000465,1,1,0,970.6
도봉구,세그루패션디자인고등학교,S010000618,1,1,1,227.6
도봉구,자운고등학교,S010005205,1,1,1,270.0
도봉구,정의여자고등학교,S010000529,1,1,1,83.4
도봉구,창동고등학교,S010000540,1,1,1,419.3
도봉구,효문고등학교,S010005288,1,1,1,505.5
동대문구,경희고등학교,S010000384,1,0,0,183.3
동대문구,경희여자고등학교,S010000385,1,0,1,143.7
동대문구,대광고등학교,S010000407,1,1,0,85.6
동대문구,동국대학교사범대학부속고등학교,S010000420,1,1,1,618.2
동대문구,정화여자상업고등학교,S010000613,1,1,1,300.0
동대문구,청량고등학교,S010000543,1,1,1,254.6
동대문구,해성국제컨벤션고등학교,S010000614,1,1,0,600.0
동대문구,해성여자고등학교,S010005536,1,1,1,245.9
동대문구,휘경공업고등학교,S010000602,1,1,1,427.6
동대문구,휘경여자고등학교,S010000567,1,0,1,86.9
동대문구,휘봉고등학교,S010005573,1,1,1,306.0
동작구,경문고등학교,S010000378,0,1,0,91.6
동작구,동작고등학교,S010000427,1,1,1,311.1
동작구,서울공업고등학교,S010000588,1,1,1,733.3
동작구,성남고등학교,S010000468,1,1,1,611.2
동작구,수도여자고등학교,S010000477,1,1,1,112.0
동작구,숭의여자고등학교,S010000482,1,1,1,720.0
동작구,영등포고등학교,S010000497,1,1,1,85.5
마포구,경성고등학교,S010000381,1,1,1,200.0
마포구,광성고등학교,S010000393,1,1,0,883.3
마포구,상암고등학교,S010005365,1,1,0,780.0
마포구,서울디자인고등학교,S010000583,1,1,1,360.0
마포구,서울여자고등학교,S010000460,1,1,1,240.0
마포구,숭문고등학교,S010000480,0,0,0,200.0
마포구,한세사이버보안고등학교,S010000662,1,1,0,200.0
마포구,홍익대학교사범대학부속여자고등학교,S010000564,1,1,1,729.2
마포구,홍익디자인고등학교,S010000615,0,1,0,80.0
서대문구,가재울고등학교,S010005591,1,1,1,200.0
서대문구,명지고등학교,S010000435,1,1,1,148.9
서대문구,이화여자대학교사범대학부속이화금란고등학교,S010000517,0,1,0,85.6
서대문구,인창고등학교,S010000518,0,1,0,200.0
서대문구,중앙여자고등학교,S010000535,1,1,1,500.0
서대문구,한성고등학교,S010000555,1,1,1,173.0
서대문구,한성과학고등학교,S010000570,1,1,1,102.9
서초구,동덕여자고등학교,S010000421,1,0,1,182.0
서초구,반포고등학교,S010000440,1,1,1,93.4
서초구,상문고등학교,S010000452,1,1,1,100.0
서초구,서문여자고등학교,S010000455,1,0,1,301.6
서초구,서울고등학교,S010000456,1,0,1,1080.0
서초구,서울전자고등학교,S010000657,1,1,1,252.6
서초구,서초고등학교,S010000463,1,1,1,168.0
서초구,세화고등학교,S010000473,1,1,1,500.0
서초구,세화여자고등학교,S010000474,1,0,1,185.6
서초구,양재고등학교,S010000487,1,1,1,191.0
서초구,언남고등학교,S010000491,1,0,1,350.0
성동구,경일고등학교,S010005209,1,1,1,94.8
성동구,금호고등학교,S010006381,1,0,1,142.9
성동구,덕수고등학교,S010000636,1,1,1,542.8
성동구,도선고등학교,S010006382,1,0,1,502.3
성동구,무학여자고등학교,S010000436,1,1,1,253.3
성동구,서울방송고등학교,S010000585,1,1,1,87.6
성동구,성수고등학교,S010005523,1,1,1,406.6
성동구,성수공업고등학교,S010000592,1,0,1,306.5
성동구,한양대학교사범대학부속고등학교,S010000557,1,1,1,137.0
